file,slot,label,mode,viewport,ratio,state,contrast,intrusion,survival,cropVisible,typeOccluded,scrimCovered,rawDistinguishable,postScrimDistinguishable,scrimLoss,focalStatus
hero-cocktails-cans-a.png,hero,,band,desktop-1920,2.3392,fail,9.34,74,11.2,,,,,,,
hero-cocktails-cans-a.png,hero,,band,laptop-1440,2.1053,fail,9.52,73.2,10.9,,,,,,,
hero-cocktails-cans-a.png,hero,,band,small-1024,1.7544,fail,9.97,72.3,10.4,,,,,,,
hero-cocktails-cans-a.png,hero,,band,tablet-768,0.9868,fail,10.52,74.5,8.4,,,,,,,
hero-cocktails-cans-a.png,hero,,band,phone-390,0.7453,fail,11.58,73.8,5.8,,,,,,,
hero-cocktails-cans-a.png,hero,,glyph,desktop-1920,2.3392,warn,18.65,9,11.2,100,0,50.8,74.5,49.2,25.3,pass
hero-cocktails-cans-a.png,hero,,glyph,laptop-1440,2.1053,warn,18.7,11.1,10.9,100,0,50.8,74.5,49.2,25.3,pass
hero-cocktails-cans-a.png,hero,,glyph,small-1024,1.7544,warn,18.71,16,10.4,100,0,51.4,74.4,48.6,25.8,pass
hero-cocktails-cans-a.png,hero,,glyph,tablet-768,0.9868,fail,16.16,65.4,8.4,100,0,51.3,75.1,48.7,26.4,pass
hero-cocktails-cans-a.png,hero,,glyph,phone-390,0.7453,fail,16.63,60,5.8,26.6,0,3.7,90,86,4,fail
hero-cocktails-cans-b.png,hero,,band,desktop-1920,2.3392,fail,12.36,62.3,9.5,,,,,,,
hero-cocktails-cans-b.png,hero,,band,laptop-1440,2.1053,fail,12.37,62.4,8.8,,,,,,,
hero-cocktails-cans-b.png,hero,,band,small-1024,1.7544,fail,12.96,60.6,8.6,,,,,,,
hero-cocktails-cans-b.png,hero,,band,tablet-768,0.9868,fail,14.53,62.5,7.7,,,,,,,
hero-cocktails-cans-b.png,hero,,band,phone-390,0.7453,fail,16.16,60.1,7.5,,,,,,,
hero-cocktails-cans-b.png,hero,,glyph,desktop-1920,2.3392,warn,18.53,6.9,9.5,100,0,96,22.6,4,18.6,pass
hero-cocktails-cans-b.png,hero,,glyph,laptop-1440,2.1053,warn,18.72,7.5,8.8,100,0,96,22.6,4,18.6,pass
hero-cocktails-cans-b.png,hero,,glyph,small-1024,1.7544,warn,18.79,9.8,8.6,100,0,95.9,22,4.1,17.9,pass
hero-cocktails-cans-b.png,hero,,glyph,tablet-768,0.9868,fail,15.66,61.6,7.7,100,0,95,23.6,5,18.6,pass
hero-cocktails-cans-b.png,hero,,glyph,phone-390,0.7453,fail,14.12,64.1,7.5,26.6,0,26.6,0,0,0,fail
hero-cocktails-cans-c.png,hero,,band,desktop-1920,2.3392,fail,8.72,76,11.6,,,,,,,
hero-cocktails-cans-c.png,hero,,band,laptop-1440,2.1053,fail,8.78,76.3,11.6,,,,,,,
hero-cocktails-cans-c.png,hero,,band,small-1024,1.7544,fail,9.16,73.7,12.9,,,,,,,
hero-cocktails-cans-c.png,hero,,band,tablet-768,0.9868,fail,12.51,69.6,9.5,,,,,,,
hero-cocktails-cans-c.png,hero,,band,phone-390,0.7453,fail,14.69,64.1,6.3,,,,,,,
hero-cocktails-cans-c.png,hero,,glyph,desktop-1920,2.3392,warn,17.6,13.8,11.6,100,0,69.6,78,30.4,47.7,fail
hero-cocktails-cans-c.png,hero,,glyph,laptop-1440,2.1053,warn,17.93,16.5,11.6,100,0,69.6,78,30.4,47.7,fail
hero-cocktails-cans-c.png,hero,,glyph,small-1024,1.7544,warn,17.87,23.6,12.9,100,0,69.6,78.1,30.4,47.7,fail
hero-cocktails-cans-c.png,hero,,glyph,tablet-768,0.9868,fail,14.57,68.4,9.5,96,0,64.2,80,33.1,46.8,fail
hero-cocktails-cans-c.png,hero,,glyph,phone-390,0.7453,fail,14.33,70.9,6.3,17.2,0,15.1,91.6,12.3,79.4,fail
hero-gin-botanicals.png,hero,,band,desktop-1920,2.3392,fail,9.95,58,17.6,,,,,,,
hero-gin-botanicals.png,hero,,band,laptop-1440,2.1053,fail,10.15,56.2,17.1,,,,,,,
hero-gin-botanicals.png,hero,,band,small-1024,1.7544,fail,10.52,55.1,16.9,,,,,,,
hero-gin-botanicals.png,hero,,band,tablet-768,0.9868,fail,10,55.4,14.2,,,,,,,
hero-gin-botanicals.png,hero,,band,phone-390,0.7453,fail,9.79,55.6,13.7,,,,,,,
hero-gin-botanicals.png,hero,,glyph,desktop-1920,2.3392,warn,11.21,29,17.6,100,0,82.6,32.1,17.4,14.7,pass
hero-gin-botanicals.png,hero,,glyph,laptop-1440,2.1053,fail,12.2,32,17.1,100,0,82.6,32.1,17.4,14.7,pass
hero-gin-botanicals.png,hero,,glyph,small-1024,1.7544,fail,12.27,54,16.9,100,13.1,83.6,32.2,16.4,15.8,fail
hero-gin-botanicals.png,hero,,glyph,tablet-768,0.9868,fail,9.43,51.1,14.2,100,24.2,83.1,31.8,16.9,14.9,fail
hero-gin-botanicals.png,hero,,glyph,phone-390,0.7453,fail,9.61,58.5,13.7,100,58.5,83.4,32.7,16.6,16.1,fail
hero-hand-bottle.png,hero,,band,desktop-1920,2.3392,warn,17.14,26.7,9.8,,,,,,,
hero-hand-bottle.png,hero,,band,laptop-1440,2.1053,fail,15.82,35.1,10.1,,,,,,,
hero-hand-bottle.png,hero,,band,small-1024,1.7544,fail,14.79,35.5,9.5,,,,,,,
hero-hand-bottle.png,hero,,band,tablet-768,0.9868,fail,14.78,34.8,7.8,,,,,,,
hero-hand-bottle.png,hero,,band,phone-390,0.7453,fail,15.31,33.9,7.3,,,,,,,
hero-hand-bottle.png,hero,,glyph,desktop-1920,2.3392,warn,19.47,2.8,9.8,100,0,100,3.8,0,3.8,pass
hero-hand-bottle.png,hero,,glyph,laptop-1440,2.1053,warn,19.62,1.4,10.1,100,0,100,3.8,0,3.8,pass
hero-hand-bottle.png,hero,,glyph,small-1024,1.7544,warn,19.62,6.3,9.5,100,6,100,3.9,0,3.9,fail
hero-hand-bottle.png,hero,,glyph,tablet-768,0.9868,fail,18.17,13.7,7.8,100,94.8,100,3.5,0,3.5,fail
hero-hand-bottle.png,hero,,glyph,phone-390,0.7453,fail,18.44,18.6,7.3,100,76.3,100,4,0,4,fail
hero-liqueurs-trio.png,hero,,band,desktop-1920,2.3392,fail,15.09,66,10.9,,,,,,,
hero-liqueurs-trio.png,hero,,band,laptop-1440,2.1053,fail,14.96,67.1,10.3,,,,,,,
hero-liqueurs-trio.png,hero,,band,small-1024,1.7544,fail,15.2,66.2,8.9,,,,,,,
hero-liqueurs-trio.png,hero,,band,tablet-768,0.9868,fail,16.45,57.5,5.8,,,,,,,
hero-liqueurs-trio.png,hero,,band,phone-390,0.7453,fail,16.2,59.3,5.8,,,,,,,
hero-liqueurs-trio.png,hero,,glyph,desktop-1920,2.3392,warn,19.52,5.7,10.9,100,0,97.7,16.5,2.3,14.2,pass
hero-liqueurs-trio.png,hero,,glyph,laptop-1440,2.1053,warn,19.54,5.6,10.3,100,0,97.8,16.5,2.2,14.3,pass
hero-liqueurs-trio.png,hero,,glyph,small-1024,1.7544,warn,19.4,5.4,8.9,100,0,97.7,16.5,2.3,14.2,pass
hero-liqueurs-trio.png,hero,,glyph,tablet-768,0.9868,fail,17.44,37.7,5.8,96,0,93.4,14,2.7,11.3,pass
hero-liqueurs-trio.png,hero,,glyph,phone-390,0.7453,fail,18.57,30.9,5.8,17.2,0,16.7,13.9,2.6,11.3,fail
hero-rum-cane.png,hero,,band,desktop-1920,2.3392,fail,11.74,62.4,4.9,,,,,,,
hero-rum-cane.png,hero,,band,laptop-1440,2.1053,fail,12.01,60.7,4.9,,,,,,,
hero-rum-cane.png,hero,,band,small-1024,1.7544,fail,12.47,57.6,4.8,,,,,,,
hero-rum-cane.png,hero,,band,tablet-768,0.9868,fail,13.24,60.8,4.8,,,,,,,
hero-rum-cane.png,hero,,band,phone-390,0.7453,fail,13.83,65.2,4.8,,,,,,,
hero-rum-cane.png,hero,,glyph,desktop-1920,2.3392,fail,18.04,11.8,4.9,100,0,100,0.1,0,0.1,pass
hero-rum-cane.png,hero,,glyph,laptop-1440,2.1053,fail,18.22,12.1,4.9,100,0,100,0.1,0,0.1,pass
hero-rum-cane.png,hero,,glyph,small-1024,1.7544,fail,18.08,53.5,4.8,100,0,100,0.3,0,0.3,pass
hero-rum-cane.png,hero,,glyph,tablet-768,0.9868,fail,11.74,67.8,4.8,100,0,100,0.1,0,0.1,pass
hero-rum-cane.png,hero,,glyph,phone-390,0.7453,fail,12.13,69.3,4.8,26.6,0,26.6,0.4,0,0.4,fail
hero-store-interior.png,hero,,band,desktop-1920,2.3392,fail,12.06,50.2,18.3,,,,,,,
hero-store-interior.png,hero,,band,laptop-1440,2.1053,fail,12.1,49.8,18.3,,,,,,,
hero-store-interior.png,hero,,band,small-1024,1.7544,fail,12.23,48,18.8,,,,,,,
hero-store-interior.png,hero,,band,tablet-768,0.9868,fail,12.01,50.4,19.1,,,,,,,
hero-store-interior.png,hero,,band,phone-390,0.7453,fail,12.36,45.9,19.2,,,,,,,
hero-store-interior.png,hero,,glyph,desktop-1920,2.3392,fail,12.04,44.9,18.3,,,,,,,
hero-store-interior.png,hero,,glyph,laptop-1440,2.1053,fail,11.9,52.2,18.3,,,,,,,
hero-store-interior.png,hero,,glyph,small-1024,1.7544,fail,11.43,58.1,18.8,,,,,,,
hero-store-interior.png,hero,,glyph,tablet-768,0.9868,fail,12.27,49.2,19.1,,,,,,,
hero-store-interior.png,hero,,glyph,phone-390,0.7453,fail,12.27,53.8,19.2,,,,,,,
hero-tequila-pina.png,hero,,band,desktop-1920,2.3392,fail,10.98,59.8,10.3,,,,,,,
