Range? (y/n),Category,Brand,ALM description,Supplier,ALM item code,Barcode (GTIN),Carton size,Unit cost ex GST,Retail @25% GP,On promo
,STILL RED,ARENBERG,D'ARENBERG FOOTBOLT SHZ  750ML,YOUNG & RASHLEIGH WINE ME,542743,9311832347005,12,15.41,22.99,Y
,STILL RED,AUDREY,AUDREY WILK MERLOT       750ML,JOVAL WINE GROUP PTY LTD,743577,9330726000703,6,15.94,23.99,Y
,STILL RED,AUDREY,AUDREY WILK SHIRAZ       750ML,JOVAL WINE GROUP PTY LTD,590225,9330726000673,6,15.94,23.99,Y
,STILL RED,BLASS,W/BLASS GRY LBL CAB SHZ  750ML,TREASURY WINE ESTATES,303487,9312088002090,6,25.02,36.99,Y
,STILL RED,BLASS,W/BLASS GRY LBL SHIRAZ   750ML,TREASURY WINE ESTATES,586682,9312088421556,6,25.02,36.99,Y
,STILL RED,BURGE,G/BURGE CV CAB SAUV      750ML,VINARCHY AUSTRALIA,527785,9315705002800,6,15.59,22.99,Y
,STILL RED,BURGE,G/BURGE MIAMBA SHIRAZ    750ML,VINARCHY AUSTRALIA,521967,9315705003005,6,15.59,22.99,Y
,STILL RED,HENSCHKE,HENSCHKE HENRYS 7 SGM    750ML,JOVAL WINE GROUP PTY LTD,561496,9320909001702,6,27.83,40.99,Y
,STILL RED,JIM,JIM BARRY COVER DR C/SAV 750ML,SAMUEL SMITH & SON,505880,9314487507015,6,15.60,22.99,Y
,STILL RED,LA,ALAMOS MALBEC 750ML,NEGOCIANTS AUSTRALIA,579321,7794450008084,6,16.34,23.99,Y
,STILL RED,MONDAVI,R/MONDAVI CALI CAB SAUV  750ML,CONSTELLATION BRANDS NZ,14240,9421033032669,6,14.91,21.99,Y
,STILL RED,MONDAVI,R/MONDAVI CALI P/NOIR    750ML,CONSTELLATION BRANDS NZ,438928,9421033032737,6,14.91,21.99,Y
,STILL RED,OATLEY,ROB OATLEY SIGN GSM      750ML,OATLEY FINE WINE MERCHANT,142124,9338053004920,6,15.22,22.99,Y
,STILL RED,OATLEY,ROB OATLEY SIGN YV P/NR  750ML,OATLEY FINE WINE MERCHANT,576234,9338053003824,6,15.22,22.99,Y
,STILL RED,PENFOLDS,PENFOLDS BIN 389 24 CRK  750ML,PENFOLDS WINES INTERNATIO,525160,9310297051922,6,88.13,129.99,Y
,STILL RED,PENFOLDS,PENFOLDS BIN128 SHZ 22   750ML,PENFOLDS WINES INTERNATIONAL LIMITED,741818,9310297042388,6,56.07,82.99,Y
,STILL RED,PENFOLDS,PENFOLDS BIN 128 SHZ 24  750ML,PENFOLDS WINES INTERNATIO,525770,9310297061242,6,56.07,82.99,Y
,STILL RED,PEPPERJACK,PEPPERJACK GRD LC SHIRAZ 750ML,TREASURY WINE ESTATES,256960,9300770003395,6,24.85,36.99,Y
,STILL RED,PEPPERJACK,PEPPERJACK GRD MCV SHIRAZ750ML,TREASURY WINE ESTATES,256986,9300770003418,6,24.85,36.99,Y
,STILL RED,PEPPERJACK,PEPPERJACK MIDST SHIRAZ  750ML,TREASURY WINE ESTATES,205008,9300770005771,6,16.76,24.99,Y
,STILL RED,PETALUMA,PETALUMA WL SHIRAZ       750ML,VINARCHY AUSTRALIA,581467,9338979000570,6,18.67,27.99,Y
,STILL RED,PETALUMA,PETALUMA WL PINOT NOIR   750ML,VINARCHY AUSTRALIA,591996,9338979020653,6,18.67,27.99,Y
,STILL RED,SHAW,SHAW & SMITH SHIRAZ      750ML,JOVAL WINE GROUP PTY LTD,526218,9316770111626,6,41.57,60.99,Y
,STILL RED,SHAW,PHILIP SHAW IDIOT SHIRAZ 750ML,OATLEY FINE WINE MERCHANT,520445,9336520000130,6,18.96,27.99,Y
,STILL RED,ST,ST HUGO SHIRAZ CAB       750ML,VINARCHY AUSTRALIA,554177,9311043407253,6,29.82,43.99,Y
,STILL RED,ST,ST HUGO GSM              750ML,VINARCHY AUSTRALIA,545788,9311043402623,6,29.82,43.99,Y
,STILL RED,ST,ST HUGO CAB SAUVIGNON    750ML,VINARCHY AUSTRALIA,523391,9311043405280,6,29.82,43.99,Y
,STILL RED,ST,ST HUGO SHIRAZ           750ML,VINARCHY AUSTRALIA,545770,9311043406904,6,29.82,43.99,Y
,STILL RED,TAYLORS,TAYLORS M/S CAB SHIRAZ22 750ML,TAYLORS WINES PTY LTD,266114,9311659003184,6,37.02,54.99,Y
,STILL RED,TAYLORS,TAYLORS M/S SHIRAZ 22    750ML,TAYLORS WINES PTY LTD,381037,9311659003108,6,37.02,54.99,Y
,STILL RED,TAYLORS,TAYLORS JARAMAN PNT NOIR 750ML,TAYLORS WINES PTY LTD,509693,9311659001630,6,20.84,30.99,Y
,STILL RED,TAYLORS,TAYLORS JARAMAN GRENACHE 750ML,TAYLORS WINES PTY LTD,777961,9311659001975,6,20.84,30.99,Y
,STILL RED,TE,CHATEAU TANUNDA C/SAUV   750ML,AUST FOOD & BEVERAGE PTY,573642,9313181002949,6,24.16,35.99,Y
,STILL RED,TE,CHATEAU TANUNDA SV SHZ   750ML,AUST FOOD & BEVERAGE PTY,291300,9313181002987,6,24.16,35.99,Y
,STILL RED,TWO,BIRD IN HAND TWO INB SHZ 750ML,BOTTLE IN HAND,550408,9325512000234,6,16.87,24.99,Y
,STILL RED,VASSE,VASSE FELIX FILIUS C/SAU 750ML,SAMUEL SMITH & SON,648691,9315032003068,6,17.27,25.99,Y
,STILL RED,WILD,WILD OLIVE ORG SHIRAZ    750ML,VINTAGE HOUSE WINE & SPIR,79805,9300694359349,6,15.22,22.99,Y
,STILL RED,WIRRA,WIRRA WIRRA CATAPULT SHZ 750ML,SAMUEL SMITH & SON,516124,9315125901271,6,17.67,25.99,Y
,STILL RED,WYNNS,WYNNS BLACK LBL SHZ 24   750ML,TREASURY WINE ESTATES,502405,9300620006248,6,28.09,41.99,Y
,STILL RED,WYNNS,WYNNS BLACK LBL C/SAUV24 750ML,TREASURY WINE ESTATES,501792,9300620007580,6,28.09,41.99,Y
,STILL RED,WYNNS,WYNNS BLACK LBL C/SAVS21 750ML,TREASURY WINE ESTATES,261449,9300620003452,6,28.09,41.99,Y
,STILL RED,YALUMBA,YALUMBA SC BUSH GRENACHE 750ML,SAMUEL SMITH & SON,583605,9311789006383,6,15.67,22.99,Y
,STILL RED,YALUMBA,YALUMBA SC BAR CAB SHZ   750ML,SAMUEL SMITH & SON,585356,9311789006376,6,15.67,22.99,Y
,STILL RED,YALUMBA,YALUMBA SC BAROSSA SHIRAZ750ML,SAMUEL SMITH & SON,585819,9311789006352,6,15.67,22.99,Y
,STILL RED,YERING,LITTLE YERING SHIRAZ     750ML,OATLEY FINE WINE MERCHANT,353767,9316562000855,6,14.42,21.99,Y
,STILL WHITE,ATA,CATALINA SOUNDS SAUV BLNC750ML,JOVAL WINE GROUP PTY LTD,865329,9316128000367,6,19.58,28.99,Y
,STILL WHITE,AUDREY,AUDREY WILK PINOT GRIGIO 750ML,JOVAL WINE GROUP PTY LTD,913973,9330726000741,6,15.94,23.99,Y
,STILL WHITE,BERTON,BERTON RESERVE CHARD     750ML,BERTON VINEYARDS P/L,566289,9335966000209,6,14.41,21.99,Y
,STILL WHITE,BROWN,BROWN BRO MOSCATO P/GRIG 750ML,BROWN FAMILY WINE GROUP,921109,9311124402511,6,11.69,17.99,Y
,STILL WHITE,DE,DEVILS CORNER S/BLANC    750ML,BROWN FAMILY WINE GROUP,945111,9325814006248,6,18.20,26.99,Y
,STILL WHITE,DE,DEVILS CORNER RIESLING   750ML,BROWN FAMILY WINE GROUP,541108,9325814006163,6,18.20,26.99,Y
,STILL WHITE,DE,DEVILS CORNER CHARD      750ML,BROWN FAMILY WINE GROUP,773467,9325814006026,6,18.20,26.99,Y
,STILL WHITE,GIESEN,GIESEN PINOT GRIS        750ML,OATLEY FINE WINE MERCHANT,528558,9416040100241,6,12.53,18.99,Y
,STILL WHITE,GIESEN,GIESEN CHARDONNAY        750ML,OATLEY FINE WINE MERCHANT,549088,9416040000183,6,12.53,18.99,Y
,STILL WHITE,HILL,RED HILL CHARDONNAY      750ML,RED HILL WINE PTY LTD,796944,9325823000992,6,13.99,20.99,Y
,STILL WHITE,JACOBS,JACOBS CK DBL BAR CHARD 750ML,VINARCHY AUSTRALIA,244735,9311043406713,6,13.66,20.99,Y
,STILL WHITE,LA,BIRD IN HAND SAUV BLANC  750ML,BOTTLE IN HAND,559342,9325512000135,6,18.21,26.99,Y
,STILL WHITE,LA,NEPENTHE ALT SAUV BLANC  750ML,AUSTRALIAN VINTAGE-DOMEST,576603,0813036001015,6,14.19,20.99,Y
,STILL WHITE,MONDAVI,R/MONDAVI CALI CHARDONNAY750ML,CONSTELLATION BRANDS NZ,14290,9421033032638,6,14.91,21.99,Y
,STILL WHITE,MONDAVI,R/MONDAVI CALI BUTTRY CHD750ML,CONSTELLATION BRANDS NZ,237343,9421033032621,6,14.91,21.99,Y
,STILL WHITE,MUD,MUD HOUSE SAUV BLANC     750ML,VINARCHY AUSTRALIA,534017,9421018070013,6,11.74,17.99,Y
,STILL WHITE,MUD,MUD HOUSE PINOT GRIS     750ML,VINARCHY AUSTRALIA,510026,9421018071171,6,11.74,17.99,Y
,STILL WHITE,OATLEY,ROB OATLEY SIGN RIESLING 750ML,OATLEY FINE WINE MERCHANT,553684,9338053002100,6,15.22,22.99,Y
,STILL WHITE,OATLEY,ROB OATLEY SIGN SBS      750ML,OATLEY FINE WINE MERCHANT,172747,9338053012161,6,15.22,22.99,Y
,STILL WHITE,PETALUMA,PETALUMA WL CHARD        750ML,VINARCHY AUSTRALIA,571535,9338979000525,6,18.67,27.99,Y
,STILL WHITE,PEWSEY,PEWSEY VALE RIESLING     750ML,SAMUEL SMITH & SON,530225,9311789000190,6,16.11,23.99,Y
,STILL WHITE,PIKES,PIKES RIESLING           750ML,OATLEY FINE WINE MERCHANT,536580,9315825003039,6,18.62,27.99,Y
,STILL WHITE,SHAW,SHAW & SMITH M3 CHARD    750ML,JOVAL WINE GROUP PTY LTD,505238,9316770010127,6,41.57,60.99,Y
,STILL WHITE,SHAW,PHILIP SHAW GARD P/GRIS  750ML,OATLEY FINE WINE MERCHANT,580403,9336520002080,6,18.96,27.99,Y
,STILL WHITE,TE,CHATEAU TANUNDA SV CHARD 750ML,AUST FOOD & BEVERAGE PTY,446379,9313181006183,6,24.16,35.99,Y
,STILL WHITE,TWO,BIRD IN HAND TWO INB CHD 750ML,BOTTLE IN HAND,550393,9325512000258,6,16.87,24.99,Y
,STILL WHITE,VASSE,VASSE FELIX FILIUS S/BLC 750ML,SAMUEL SMITH & SON,376257,9315032004041,6,17.27,25.99,Y
,STILL WHITE,VASSE,VASSE FELIX FILIUS CHARD 750ML,SAMUEL SMITH & SON,538956,9315032001385,6,17.27,25.99,Y
,STILL WHITE,VILLA,VILLA MARIA PB SAUV BLNC 750ML,CALABRIA FAMILY WINES P/L,557308,9414416305528,6,11.74,17.99,Y
,STILL WHITE,VILLA,VILLA MARIA PB PNT GRIS  750ML,CALABRIA FAMILY WINES P/L,563058,9414416508356,6,11.74,17.99,Y
,STILL WHITE,VILLA,VILLA MARIA PB CHARD     750ML,CALABRIA FAMILY WINES P/L,556946,9414416501876,6,11.74,17.99,Y
,STILL WHITE,WILD,WILD OLIVE ORG CHARD     750ML,VINTAGE HOUSE WINE & SPIR,440519,9300694000449,6,15.22,22.99,Y
,STILL WHITE,WILD,WILDFLOWER PINOT GRIGIO  750ML,OATLEY FINE WINE MERCHANT,872261,9338053009505,6,13.18,19.99,Y
,STILL WHITE,WIRRA,WIRRA WIRRA H/CHP S/BLNC 750ML,SAMUEL SMITH & SON,589208,9315125901363,6,16.73,24.99,Y
,STILL WHITE,WOOD,BROKENWOOD PINOT GRIS    750ML,SAMUEL SMITH & SON,943046,9318560120030,12,18.45,27.99,Y
,STILL WHITE,WOOD,BROKENWOOD SEMILLON      750ML,SAMUEL SMITH & SON,539928,9318560010034,12,18.45,27.99,Y
,STILL WHITE,WYNNS,WYNNS BLACK LBL CHD      750ML,TREASURY WINE ESTATES,992427,9300620008396,6,28.09,41.99,Y
