Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,NON-ALCOHOLIC,1,1,15.56%,GRT NTH ZERO BTL         330ML,992451,9320000507998,,core-extract,24.0,1.86,
,NON-ALCOHOLIC,2,2,12.15%,HEINEKEN ZERO BTL        330ML,273962,9327721000838,,core-extract,24.0,2.19,
,NON-ALCOHOLIC,3,3,9.46%,HEAPS NORMAL QUIET XPA C375ML,496272,9356470000349,,core-extract,24.0,2.40,
,NON-ALCOHOLIC,4,4,5.99%,GRT NTH ZERO CAN         375ML,992388,,,,,,
,NON-ALCOHOLIC,5,7,2.60%,J/SQUIRE ZERO ALC        330ML,63058,9311890249693,,core-extract,24.0,2.21,
,NON-ALCOHOLIC,6,5,2.55%,CARLTON ZERO BTL         330ML,920475,,,,,,
,NON-ALCOHOLIC,7,6,2.37%,PERONI NASTRO AZZURO 0%6X330ML,624113,,,,,,
,NON-ALCOHOLIC,8,8,2.18%,HEAPS NORMAL HDHZY C375ML,133895,9356470000738,,core-extract,24.0,2.40,
,NON-ALCOHOLIC,9,12,1.75%,HEAPS NORMAL ANTHR LGR   375ML,512609,9356470000370,,core-extract,24.0,2.40,
,NON-ALCOHOLIC,10,9,1.64%,GAGE RDS Y/B N/ALC XPA C330ML,514758,,,,,,
,NON-ALCOHOLIC,11,14,1.64%,GUINNESS 0.0         CAN 440ML,558074,5000213027684,,core-extract,24.0,3.18,
,NON-ALCOHOLIC,12,11,1.63%,CARLTON ZERO CAN         375ML,196330,,,,,,
,NON-ALCOHOLIC,13,13,1.51%,MCGUIGAN ZERO SAUV BLANC 750ML,789890,9310415017892,,core-extract,6.0,8.00,
,NON-ALCOHOLIC,14,15,1.48%,ASAHI SUPER DRY ZERO    B330ML,169061,,,,,,
,NON-ALCOHOLIC,15,10,1.40%,JOSE CUERVO MARGARITA MIX   1L,587125,7501035025127,,core-extract,6.0,11.44,
,NON-ALCOHOLIC,16,16,0.95%,MCGUIGAN ZERO SPARKLING  750ML,712851,9310415017908,,core-extract,6.0,8.00,
,NON-ALCOHOLIC,17,17,0.94%,BROWN BRO PROSECCO ZERO  750ML,389975,9311124404003,,core-extract,6.0,12.14,
,NON-ALCOHOLIC,18,18,0.93%,MCGUIGAN ZERO SHIRAZ     750ML,789748,9310415017915,,core-extract,6.0,8.00,
,NON-ALCOHOLIC,19,19,0.91%,MASTER OF MIXES MARGARITA   1L,905959,0070491206601,,core-extract,6.0,10.08,
,NON-ALCOHOLIC,20,27,0.78%,HIATUS N/ALC PACI ALE   C375ML,322279,9354768077707,,core-extract,24.0,2.35,
,NON-ALCOHOLIC,21,22,0.74%,AUSTRALIAN BITTERS       250ML,197072,9347329000177,,core-extract,12.0,21.91,
,NON-ALCOHOLIC,22,388,0.72%,COOPERS ZERO CAN         375ML,282518,9310441005375,,core-extract,24.0,1.91,
,NON-ALCOHOLIC,23,31,0.72%,HEAPS NORMAL THIRD IPA   375ML,913533,9356470001438,,core-extract,24.0,2.40,
,NON-ALCOHOLIC,24,20,0.66%,FINEST CALL LIME JCE        1L,655282,0070491569058,,core-extract,12.0,15.10,
,NON-ALCOHOLIC,25,33,0.59%,MCGUIGAN ZERO CHARDONNAY 750ML,789874,9310415017878,,core-extract,6.0,8.00,
,RTD'S,1,1,3.18%,BUNDY UP&COLA 4.6% CUBE  375ML,552086,9310495075249,,core-extract,24.0,91.88,
,RTD'S,2,2,2.83%,J/DANIEL & COLA 10PK     375ML,511349,9310733301321,,core-extract,20.0,48.82,
,RTD'S,3,3,2.71%,JIM BEAM&COLA 4.8% CUBE  375ML,42167,9300624029472,,core-extract,24.0,89.83,
,RTD'S,4,7,1.63%,J/DANIEL DBL JK&CLA 10P  375ML,432121,9310733200518,,core-extract,20.0,57.45,
,RTD'S,5,10,1.58%,JIM BEAM & COLA 10PK CAN 375ML,425145,9316417009149,,core-extract,30.0,39.12,
,RTD'S,6,6,1.55%,CAN CLUB & DRY CUBE CAN  375ML,63105,9316417009101,,core-extract,24.0,89.83,
,RTD'S,7,4,1.51%,HARD RATED LEM 10PK 4.5% 375ML,569494,9329982024967,,core-extract,30.0,40.33,
,RTD'S,8,435,1.45%,HARD RATED ORG 10PK 4.5% 375ML,245668,9329982026077,,core-extract,30.0,40.33,
,RTD'S,9,8,1.42%,J/DANIEL & COLA CAN      375ML,570932,9310733001320,,core-extract,24.0,5.21,
,RTD'S,10,5,1.12%,HARD RATED LEMON 4.5%    375ML,562785,9329982024936,,core-extract,24.0,4.50,
,RTD'S,11,11,1.09%,WOODSTOCK&COLA 4.8% 10PK 375ML,554567,9329982013657,,core-extract,30.0,35.59,
,RTD'S,12,12,1.02%,SUNTORY -196 LEMON 10PK 330ML,283386,9316417007961,,core-extract,30.0,39.04,
,RTD'S,13,14,1.02%,JIM BEAM & COLA4.8% NEW375ML,610839,9316417002294,,core-extract,24.0,4.23,
,RTD'S,14,15,1.00%,J/DANIEL & COLA CUBE     330ML,524928,9310733101105,,core-extract,24.0,97.56,
,RTD'S,15,16,1.00%,BUNDY UP & COLA 4.6% 10P 375ML,551608,9311866009368,,core-extract,30.0,40.19,
,RTD'S,16,9,0.97%,WOODSTOCK&COLA RSV 12%   200ML,580495,9329982017471,,core-extract,24.0,5.41,
,RTD'S,17,475,0.97%,HARD RATED ORANGE 4.5%   375ML,245545,9329982025889,,core-extract,24.0,4.50,
