Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,BOURBON,1,1,16.52%,JIM BEAM WHITE LBL BRBN 37% 1L,802083,5010278101311,,core-extract,6.0,59.01,
,BOURBON,2,2,14.56%,J/DANIEL BLACK LABEL        1L,561145,0082184045367,,core-extract,6.0,74.15,
,BOURBON,3,3,7.83%,J/DANIEL BLACK LABEL     700ML,568595,0082184045954,,core-extract,12.0,52.14,
,BOURBON,4,4,7.70%,JIM BEAM WHITE LBL 37%   700ML,718446,5010278101335,,core-extract,12.0,43.62,
,BOURBON,5,5,7.13%,MAKERS MARK BOURBON 40%  700ML,522201,0085246500071,,core-extract,6.0,52.15,YES
,BOURBON,6,6,5.26%,WILD TURKEY 81 PROOF 40.5%  1L,653201,9343496003508,,core-extract,6.0,65.06,
,BOURBON,7,7,4.25%,J/DANIEL GENTLEMAN JACK  700ML,548121,0082184038758,,core-extract,6.0,61.51,
,BOURBON,8,8,3.36%,WILD TURKEY 81PROOF 40.5%700ML,659728,9343496003492,,core-extract,12.0,49.89,
,BOURBON,9,9,3.31%,BUFFALO TRACE BOURBON    700ML,539656,0080244009984,,core-extract,6.0,53.90,YES
,BOURBON,10,10,3.04%,JIM BEAM WHITELABEL6P37%1125ML,529046,5010278101304,,core-extract,6.0,72.52,
,BOURBON,11,16,2.71%,JIM BEAM WHITE LBL 37%MINS50ML,593639,93481656,,core-extract,10.0,4.48,
,BOURBON,12,11,1.95%,WOODFORD RES BOURBON     700ML,798695,5099873007617,,core-extract,6.0,65.30,
,BOURBON,13,12,1.75%,WILD TURKEY 101 PROOF    700ML,782199,0721059777001,,core-extract,6.0,61.44,
,BOURBON,14,17,1.39%,MAKERS MARK BOURBON         1L,770951,0085246500545,,core-extract,6.0,71.73,
,BOURBON,15,15,1.19%,JIM BEAM WHITE LBL PET   375ML,549350,05493500,,core-extract,24.0,23.89,
,BOURBON,16,14,1.15%,COUGAR BOURBON           700ML,585953,9300776006437,,core-extract,12.0,41.23,
,BOURBON,17,19,0.99%,J/DANIEL BLACK LABEL MINS 50ML,593760,0082184746295,,core-extract,10.0,6.43,
,BOURBON,18,18,0.96%,OLD NO15 BOURBON         700ML,823995,9323594000364,,core-extract,12.0,42.08,
,BOURBON,19,13,0.95%,JIM BEAM BLACK LABEL 40% 700ML,536289,0080686003502,,core-extract,12.0,49.76,YES
,BOURBON,20,20,0.85%,BENCHMARK BOURBON 700ML,66726,1210000101730,,core-extract,12.0,42.00,
,BOURBON,21,21,0.81%,BULLEIT BOURBON 45%      700ML,929372,0082000790570,,core-extract,6.0,51.77,
,BOURBON,22,22,0.79%,J/DANIEL BLACK LABEL     200ML,561666,0082184004579,,core-extract,24.0,16.93,
,BOURBON,23,25,0.67%,J/DANIEL TENNESSEE      1.136L,493672,0082184090398,,core-extract,6.0,85.28,
,BOURBON,24,24,0.58%,J/DANIEL BLACK LABEL     350ML,580288,0082184046135,,core-extract,12.0,29.57,
,BOURBON,25,23,0.58%,J/DANIEL TENNESSEE HONEY 700ML,558634,0082184042397,,core-extract,6.0,49.76,YES
,GIN,1,1,18.57%,GORDONS GIN                 1L,534274,9310495067664,,core-extract,6.0,63.03,
,GIN,2,2,10.30%,TANQUERAY GIN            700ML,574342,5000291020706,,core-extract,6.0,53.90,YES
,GIN,3,5,6.64%,ROKU GIN 43%             700ML,804899,4901777305359,,core-extract,6.0,55.09,YES
,GIN,4,4,6.24%,GORDONS DRY GIN 37%      700ML,510144,9310495069514,,core-extract,12.0,45.81,YES
,GIN,5,6,5.65%,GORDONS PINK 37%         700ML,526454,9310495088195,,core-extract,6.0,48.12,
,GIN,6,7,5.37%,HENDRICKS GIN            700ML,942618,5010327755014,,core-extract,6.0,64.35,YES
,GIN,7,440,4.57%,BOMBAY SAPPHIRE GIN     N700ML,368225,07881954,,core-extract,6.0,53.72,
,GIN,8,9,2.59%,FOUR PILLARS RARE DRY GIN700ML,90364,9349749000164,,core-extract,6.0,61.02,YES
,GIN,9,3,2.41%,BOMBAY SAPPHIRE GIN      700ML,788195,,,,,,
,GIN,10,10,2.16%,VICKERS GIN              700ML,503537,9310495051380,,core-extract,12.0,39.22,
,GIN,11,11,1.90%,TANQUERAY GIN               1L,583618,9310495082827,,core-extract,6.0,71.13,
,GIN,12,440,1.87%,BOMBAY GIN SAPPHIRE       N 1L,367782,5010677710251,,core-extract,6.0,74.50,
,GIN,13,13,1.48%,BEGIN GIN                700ML,527015,9323594000906,,core-extract,6.0,43.83,
,GIN,14,8,1.35%,BOMBAY GIN SAPPHIRE         1L,565814,,,,,,
,GIN,15,15,1.27%,BEEFEATER GIN 40%           1L,550021,5000329002278,,core-extract,6.0,67.84,
,GIN,16,12,1.25%,BEEFEATER GIN            700ML,577992,5000329002193,,core-extract,6.0,45.27,
,GIN,17,14,1.14%,MALFY GIN ROSA           700ML,930124,5000299296066,,core-extract,6.0,55.57,
,GIN,18,18,0.98%,GORDONS PINK 37% 1L,526446,9310495088218,,core-extract,6.0,68.59,
,GIN,19,17,0.91%,FOUR PILLARS SHIRAZ GIN  700ML,890735,9349749000249,,core-extract,6.0,72.20,
,GIN,20,19,0.89%,BULLDOG GIN              700ML,500505,0897076002010,,core-extract,6.0,49.58,
,GIN,21,24,0.76%,23RD ST SIGNATURE GIN    700ML,708755,9332364008738,,core-extract,6.0,58.53,
,GIN,22,31,0.76%,GORDONS GIN L/DON DRY MINS50ML,593304,5000289020107,,core-extract,12.0,7.41,
,GIN,23,16,0.64%,URBAN VDKA TRIP DISTIL VDKA 1L,654930,,,,,,
,GIN,24,25,0.61%,TANQUERAY GIN NO10       700ML,584321,5000291027576,,core-extract,6.0,63.07,
,GIN,25,23,0.54%,INK GIN 40%              700ML,663374,9369999046026,,core-extract,6.0,69.13,YES
,OTHER SPIRITS,1,1,28.37%,APEROL APERITIF          700ML,526226,8002230000302,,core-extract,6.0,27.44,
,OTHER SPIRITS,2,2,8.42%,ST AGNES VS BRANDY       150ML,582976,93694117,,core-extract,12.0,10.46,
,OTHER SPIRITS,3,3,8.09%,CAMPARI APERITIF NUPK    700ML,549334,8000040001106,,core-extract,6.0,41.81,
,OTHER SPIRITS,4,4,5.14%,ST AGNES VS BRANDY       700ML,575128,9300694000517,,core-extract,12.0,37.01,
,OTHER SPIRITS,5,5,4.86%,BLACK BTL BRANDY         700ML,575306,9332364012384,,core-extract,12.0,37.72,
,OTHER SPIRITS,6,6,4.15%,ST REMY BRANDY VSOP 37%  700ML,832855,3035540003928,,core-extract,6.0,44.12,
,OTHER SPIRITS,7,7,3.21%,OUZO 12    NUPK          700ML,543516,5201003110702,,core-extract,6.0,42.44,
,OTHER SPIRITS,8,8,2.77%,ANGOSTURA BITTERS        200ML,584622,0075496002005,,core-extract,24.0,21.27,
