Range? (y/n),Segment,Rank TY,Rank LY,Segment % share,ALM description,ALM item code,Barcode (GTIN),Supplier,Stock type,Carton size,Unit cost ex GST,Already stocked (barcode match)
,CASK,1,1,6.50%,BERRI EST FRESH DRY WHT 2P  5L,466853,9310578877104,VINARCHY AUSTRALIA,ALM Warehouse,2,16.52,
,CASK,2,4,4.00%,DE BORTOLI PREM C/MERL  CSK 4L,594601,9300752510286,DE BORTOLI WINES PTY LIMI,ALM Warehouse,3,15.70,
,CASK,3,2,3.92%,SOVEREIGN PT DRY WHT CSK  4.4L,527646,9322214006045,CASELLA WINES PTY LTD,ALM Warehouse,4,10.22,
,CASK,4,3,3.90%,DE BORTOLI PREM SSB     CSK 4L,548058,9300752510262,DE BORTOLI WINES PTY LIMI,ALM Warehouse,3,15.70,
,CASK,5,6,3.27%,SPRING ROCK FRUITY WHITE    4L,513406,9310415015478,AUSTRALIAN VINTAGE-DOMEST,ALM Warehouse,4,9.23,
,CASK,6,5,3.15%,BERRI EST DOLCE ROSSO 2P    5L,467016,9310578876985,VINARCHY AUSTRALIA,ALM Warehouse,2,16.52,
,CASK,7,7,2.82%,BERRI EST CRISP DRY WHT 2P  5L,466939,9310578877050,VINARCHY AUSTRALIA,ALM Warehouse,2,16.52,
,CASK,8,9,2.63%,BERRI EST TRAD DRY RED 2P   5L,466942,9310578877074,VINARCHY AUSTRALIA,ALM Warehouse,2,16.52,
,CASK,9,11,2.57%,DE BORTOLI PREM S/CAB   CSK 4L,553566,9300752510088,DE BORTOLI WINES PTY LIMI,ALM Warehouse,3,15.70,
,CASK,10,8,2.53%,BERRI EST CLASSIC DRY WHT 2P5L,467045,9310578876978,VINARCHY AUSTRALIA,ALM Warehouse,2,16.52,
,CASK,11,10,2.47%,RENMANO AGED TAWNY PORT CSK 2L,557926,9310577001357,VINARCHY AUSTRALIA,ALM Warehouse,6,10.52,
,CASK,12,13,2.47%,DE BORTOLI PRM OLD TAWNYCSK 4L,552722,9300752510125,DE BORTOLI WINES PTY LIMI,ALM Warehouse,3,21.02,
,CASK,13,12,2.30%,BERRI EST DOLCE BIANCO 2P   5L,466816,9310578877937,VINARCHY AUSTRALIA,ALM Warehouse,2,16.52,
,CASK,14,21,2.01%,DE BORTOLI PRESSING SHZ CSK 4L,778386,9300752510538,DE BORTOLI WINES PTY LIMI,ALM Warehouse,3,15.70,
,CASK,15,15,1.85%,KOOBA FRUITY LEXIA          4L,575911,9313748007547,MEDITRINA BEVERAGES PL,ALM Warehouse,4,9.35,
,CASK,16,14,1.84%,SOVEREIGN PT SFT FRT WHTE 4.4L,527044,9322214006069,CASELLA WINES PTY LTD,ALM Warehouse,4,10.22,
,CASK,17,22,1.83%,DE BORTOLI PREM COL CHD CSK 4L,554944,9300752510224,DE BORTOLI WINES PTY LIMI,ALM Warehouse,3,15.70,
,CASK,18,17,1.78%,SOVEREIGN PT DRY RED CSK  4.4L,527206,9322214006007,CASELLA WINES PTY LTD,ALM Warehouse,4,10.22,
,CASK,19,18,1.76%,SPRING ROCK CRISP DRY WHITE 4L,513906,9310415015454,AUSTRALIAN VINTAGE-DOMEST,ALM Warehouse,4,9.23,
,CASK,20,19,1.74%,WINESMITHS PREM SEL SAUV/BL 2L,520482,9311789001517,SAMUEL SMITH & SON,ALM Warehouse,6,10.36,
,CASK,21,16,1.68%,BERRI EST FRUITY GORDO NEW  5L,507536,9310578877098,VINARCHY AUSTRALIA,ALM Warehouse,2,16.52,
,CASK,22,20,1.59%,STANLEY TAWNY 6P            2L,473884,9311043877773,VINARCHY AUSTRALIA,ALM Warehouse,6,13.79,
,CASK,23,23,1.54%,SOVEREIGN PT FRT LXIA CSK 4.4L,557112,9322214006083,CASELLA WINES PTY LTD,ALM Warehouse,4,10.22,
,CASK,24,24,1.53%,BANROCK STN SAUV BLANC CSK  2L,985292,9311043091391,VINARCHY AUSTRALIA,ALM Warehouse,6,10.62,
,CASK,25,26,1.45%,DE BORTOLI PREM CHARD   CSK 4L,520068,9300752510354,DE BORTOLI WINES PTY LIMI,ALM Warehouse,3,15.70,
,MOSCATO,1,1,22.67%,BROWN BRO MOSCATO        750ML,552578,0029147139985,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,
,MOSCATO,2,2,9.28%,BANROCK STN MOSCATO S/C     1L,666445,9311043766282,VINARCHY AUSTRALIA,ALM Warehouse,6,8.02,
,MOSCATO,3,3,8.37%,BROWN BRO MOSCATO ROSE   750ML,570071,0029147139992,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,
,MOSCATO,4,4,6.79%,GOSSIPS MOSCATO PINK     750ML,541412,9313748006342,MEDITRINA BEVERAGES PL,ALM Warehouse,6,4.80,YES
,MOSCATO,5,5,6.17%,GOSSIPS SWTLIPS MOSCATO  750ML,826008,9313748004591,MEDITRINA BEVERAGES PL,ALM Warehouse,6,4.80,
,MOSCATO,6,6,5.48%,BANROCK STN MOSCATO PINK    1L,666649,9311043766411,VINARCHY AUSTRALIA,ALM Warehouse,6,8.02,
,MOSCATO,7,8,3.46%,BROWN BRO MOSCATO S/BLANC750ML,580005,9311124400166,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,
,MOSCATO,8,7,3.00%,TGALLANT JULIET MOSCATO 750ML,976683,9326983003007,TREASURY WINE ESTATES,ALM Warehouse,6,11.99,
,MOSCATO,9,9,2.73%,BROWN BRO MOSCATO SP     750ML,540903,0029147106901,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,
,MOSCATO,10,10,2.13%,BROWN BRO MOSCATO ROSE SP750ML,540908,0029147106918,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,
,MOSCATO,11,11,2.02%,AMBERLEY KISS&T MOSCATO  750ML,533309,9316176079971,VINARCHY AUSTRALIA,ALM Warehouse,6,11.26,
,MOSCATO,12,19,1.78%,VIVO MOSCATO             750ML,608201,9300752371535,DE BORTOLI WINES PTY LIMI,ALM Warehouse,12,5.77,
,MOSCATO,13,13,1.31%,JACOBS CK SPK MOSC WHITE 750ML,505720,9311043404184,VINARCHY AUSTRALIA,ALM Warehouse,6,7.53,
,MOSCATO,14,15,1.29%,HARDYS RIDDLE OP MOSCATO 750ML,588558,9311043753602,VINARCHY AUSTRALIA,ALM Warehouse,12,5.62,
,MOSCATO,15,17,1.29%,JUMPIN JACK MOSCATO      750ML,400357,,,,,,
,MOSCATO,16,12,1.17%,LIND B90 MOSCATO         750ML,548037,9311218001682,TREASURY WINE ESTATES,ALM Warehouse,6,5.69,
,MOSCATO,17,16,1.13%,RUFFLED FEATHER MOSCATO6S750ML,538998,,,,,,
,MOSCATO,18,22,1.11%,DE BORTOLI S/HIL MOSCATO 750ML,540283,9300752020884,DE BORTOLI WINES PTY LIMI,ALM Warehouse,12,4.81,
,MOSCATO,19,18,1.08%,JACOBS CK MOSCATO        750ML,518401,9311043405624,VINARCHY AUSTRALIA,ALM Warehouse,12,7.56,
,MOSCATO,20,21,1.04%,BEACH DAYS MOSCATO PINK  750ML,728420,,,,,,
,MOSCATO,21,14,1.03%,JACOBS CK SPK MOSC ROSE  750ML,505746,9311043403040,VINARCHY AUSTRALIA,ALM Warehouse,6,7.53,
,MOSCATO,22,25,0.96%,BELENA MOSCATO           750ML,197255,9319020010298,CALABRIA FAMILY WINES P/L,ALM Warehouse,6,13.97,
,MOSCATO,23,23,0.93%,ACCOMPLICE MOSCATO       750ML,63074,9300752250618,DE BORTOLI WINES PTY LIMITED,ALM Warehouse,12,3.86,
,MOSCATO,24,20,0.90%,YELLOWTAIL MOSCATO       750ML,753920,9322214011407,CASELLA WINES PTY LTD,ALM Warehouse,12,7.35,
,MOSCATO,25,24,0.86%,BROWN BRO MOSCATO SP     200ML,561417,9311124400067,BROWN FAMILY WINE GROUP,ALM Warehouse,24,4.08,
,SPARKLING CHAMPAGNE,1,2,22.93%,MOET CHANDON BRUT NV     750ML,535518,3185370729960,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,67.94,
,SPARKLING CHAMPAGNE,2,3,21.94%,MUMM CORD ROUGE NV CHAMP 750ML,535704,3043700103814,PERNOD RICARD AUST P/L,ALM Warehouse,6,55.46,
,SPARKLING CHAMPAGNE,3,1,19.48%,VEUVE/C YELLOW NV        750ML,536946,3049614222245,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,80.64,
,SPARKLING CHAMPAGNE,4,4,7.49%,PIPER-HEIDSIEK NV BRUT   750ML,988347,3018334100003,ALM IMPORTS.,ALM Warehouse,6,59.73,
,SPARKLING CHAMPAGNE,5,6,5.93%,LOUIS MORETTE BRUTNVCHAMP750ML,663036,,,,,,
,SPARKLING CHAMPAGNE,6,8,3.31%,PIPER HEIDSIEK CUV LMG   750ML,970920,,,,,,
,SPARKLING CHAMPAGNE,7,11,1.97%,POL ROGER BRUT NON VINT  750ML,535437,3260923012000,SAMUEL SMITH & SON,ALM Warehouse,6,102.21,
,SPARKLING CHAMPAGNE,8,14,1.89%,PERRIER JOUET GRAND BRUT 750ML,711397,3113880105110,PERNOD RICARD AUST P/L,ALM Warehouse,6,81.71,
,SPARKLING CHAMPAGNE,9,73,1.85%,MUMM CORDON ROUGE NV26 GB750ML,306781,,,,,,
,SPARKLING CHAMPAGNE,10,73,1.76%,MOET CHANDON IMPBRUT NVGB750ML,335853,,,,,,
,SPARKLING CHAMPAGNE,11,23,1.52%,VEUVE/C NV ICE JACKET    750ML,940035,,,,,,
,SPARKLING CHAMPAGNE,12,73,1.50%,BERNARD REMY CBBRUT CHAMP750ML,336401,,,,,,
,SPARKLING CHAMPAGNE,13,12,1.13%,BOLLINGER SPECIAL CUVEE  750ML,536904,3052853075909,CALABRIA FAMILY WINES P/L,ALM Warehouse,6,98.99,
,SPARKLING CHAMPAGNE,14,13,0.61%,PENFOLDS CHAMP CUVEE BRUT750ML,812449,9310297053407,PENFOLDS WINES INTERNATIO,ALM Warehouse,6,56.79,
,SPARKLING CHAMPAGNE,15,20,0.59%,PENFOLDS CHAMP C/BRUTNVGB750ML,816605,9310297053421,PENFOLDS WINES INTERNATIO,ALM Warehouse,6,60.93,
,SPARKLING CHAMPAGNE,16,7,0.52%,MOET CHANDON IMPER G/BOX 750ML,789719,3185370763957,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,73.50,
,SPARKLING CHAMPAGNE,17,5,0.52%,VEUVE/C YELLOW NV GFT    750ML,535665,3049614225802,,core-extract,6.0,87.65,
,SPARKLING CHAMPAGNE,18,17,0.42%,TAITTINGER NV BRUT       750ML,786614,3016570001030,JOVAL WINE GROUP PTY LTD,ALM Warehouse,6,85.91,YES
,SPARKLING CHAMPAGNE,19,21,0.31%,ERNEST RAPENEAU CHAMP LS 750ML,253093,,,,,,
,SPARKLING CHAMPAGNE,20,37,0.30%,RUINART BLC DE BLC SS GB 750ML,743632,3185370712009,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,174.82,
,SPARKLING CHAMPAGNE,21,28,0.29%,DOM PERIGNON V/CHAMP GB  750ML,251614,3185370822760,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,391.15,
,SPARKLING CHAMPAGNE,22,27,0.26%,MUMM CORDON ROUGE        375ML,814679,3043700103821,PERNOD RICARD AUST P/L,ALM Warehouse,12,38.87,
,SPARKLING CHAMPAGNE,23,73,0.25%,LOUIS MORETTE BRUT BDB   750ML,217937,,,,,,
,SPARKLING CHAMPAGNE,24,22,0.24%,MOET ICE IMPERIAL        750ML,451573,3185370773017,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,86.91,
,SPARKLING CHAMPAGNE,25,18,0.24%,NV H.LANVIN & FILS CHAMPN750ML,41475,3028441115111,AUSTRALIAN VINTAGE (DOMESTIC) PTY LTD,ALM Warehouse,6,54.57,
,SPARKLING RED,1,1,26.73%,A/GARRETT NV SPK SHIRAZ  750ML,515513,9315212006834,VOK BEVERAGES - WINES,ALM Warehouse,6,11.15,
,SPARKLING RED,2,2,15.12%,SEAVIEW SPARKLING SHIRAZ 750ML,782296,9300620533843,TREASURY WINE ESTATES,ALM Warehouse,6,6.94,YES
,SPARKLING RED,3,3,10.30%,YELLOWGLEN RED           750ML,770786,9300770050153,TREASURY WINE ESTATES,ALM Warehouse,6,7.17,
,SPARKLING RED,4,30,10.02%,DE BORTOLI SANGRIA SPRITZ750ML,317368,9300752052717,DE BORTOLI WINES PTY LIMI,ALM Warehouse,6,14.70,
,SPARKLING RED,5,4,9.23%,MCGUIGAN BLK LBL SPK SHZ 750ML,767686,0764253951112,AUSTRALIAN VINTAGE-DOMEST,ALM Warehouse,6,6.79,YES
,SPARKLING RED,6,5,6.87%,G/BURGE SPK NV SHIRAZ    750ML,666898,9315705000202,VINARCHY AUSTRALIA,ALM Warehouse,6,16.42,
,SPARKLING RED,7,6,5.57%,BLEASDALE SPK SHIRAZ     750ML,752102,9316475001895,NEGOCIANTS AUSTRALIA,ALM Warehouse,6,18.06,
,SPARKLING RED,8,7,3.25%,DE BORTOLI CHILBIL SPZRED750ML,340586,9300752051574,DE BORTOLI WINES PTY LIMI,ALM Warehouse,6,13.09,
,SPARKLING RED,9,13,2.53%,DE BORTOLI WOODF SHZ CUV 750ML,183057,9300752052335,DE BORTOLI WINES PTY LIMI,ALM Warehouse,6,13.35,
,SPARKLING RED,10,10,2.40%,A/GARRETT NV SPK SHIRAZ 200ML,416120,9315212007190,VOK BEVERAGES - WINES,ALM Warehouse,24,4.30,
,SPARKLING RED,11,9,2.26%,SEPPELT SPK SHIRAZ       750ML,536378,9310194102987,TREASURY WINE ESTATES,ALM Warehouse,6,19.88,
,SPARKLING RED,12,11,1.51%,MORRIS SPK SHIRAZ DURIF  750ML,549038,9322214005543,OATLEY FINE WINE MERCHANT,ALM Warehouse,6,14.89,
