Range? (y/n),Brand,ALM description,Category,Supplier,ALM item code,Barcode (GTIN),Carton size,Unit cost ex GST,Retail @25% GP ex GST,On promo,Notes
,ST,OYSTER BAY SAUV BLANC    750ML,WINE STILL WHITE,DELEGAT AUSTRALIA PTY LTD,797592,9415549802601,6,15.42,22.99,,
,ST,OYSTER BAY CUV ROSE SPRK 750ML,WINE SPARKLING ROSE,DELEGAT AUSTRALIA PTY LTD,512507,9415549825617,6,17.02,24.99,,
,ST,OYSTER BAY CUV BRUT SPRK 750ML,WINE SPARKLING WHITE,DELEGAT AUSTRALIA PTY LTD,512492,9415549811610,6,17.02,24.99,,
,ST,OYSTER BAY PINOT NOIR    750ML,WINE STILL RED,DELEGAT AUSTRALIA PTY LTD,548391,9415549809679,6,17.61,25.99,,
,ST,OYSTER BAY MERLOT        750ML,WINE STILL RED,DELEGAT AUSTRALIA PTY LTD,507599,9415549814635,6,15.42,22.99,,
,ST,OYSTER BAY ROSE          750ML,WINE STILL ROSE,DELEGAT AUSTRALIA PTY LTD,650567,9415549805602,6,15.42,22.99,,
,ST,OYSTER BAY CHARDONNAY    750ML,WINE STILL WHITE,DELEGAT AUSTRALIA PTY LTD,794112,9415549801604,6,15.42,22.99,,
,ST,OYSTER BAY PINOT GRIS    750ML,WINE STILL WHITE,DELEGAT AUSTRALIA PTY LTD,417561,9415549816608,6,15.42,22.99,,
,DE,CHANDON GARDEN SPRITZ    750ML,WINE SPARKLING WHITE,MOET HENNESSY AUSTRALIA,340337,9315321001157,6,24.69,36.99,,
,HOUSE,TATACHILLA HOUSE SHZ CAB 750ML,WINE STILL RED,VINARCHY AUSTRALIA,572484,9313048600714,12,6.72,9.99,,
,BAY,CLOUDY BAY SAUV BLANC    750ML,WINE STILL WHITE,MOET HENNESSY AUSTRALIA,567353,9418408030016,6,42.94,62.99,,
,BAY,ATAWHAI BAY MBGH S/BLANC 750ML,WINE STILL WHITE,MEDITRINA BEVERAGES PL,822096,9313748034017,6,10.82,15.99,Y,
,TE,TEMPUS TWO VAR SAUV BLANC750ML,WINE STILL WHITE,AUSTRALIAN VINTAGE-DOMEST,568249,9315743502546,6,9.53,13.99,Y,
,HOUSE,TATACHILLA HOUSE CHARD   750ML,WINE STILL WHITE,VINARCHY AUSTRALIA,572442,9313048600738,12,6.72,9.99,,
,TATACHILLA,TATACHILLA MOSCATO KEG     30L,WINE KEGS,VINARCHY AUSTRALIA,998075,09890756,1,377.57,553.99,,
,TATACHILLA,TATACHILLA PINOT GRIGIO KEG30L,WINE KEGS,VINARCHY AUSTRALIA,998091,09890916,1,377.57,553.99,,
