Section,Spirithaus product,Size mL,POS description,POS size mL,Barcode,Barcode valid,SAME BOTTLE? (y/n)
needs decision,Yamazaki 12 Year Old,700,YAMAZAKI WHISKY 12YO 43% 700ML,700,4901777165755,yes,
needs decision,Hakushu 12 Year Old,700,HAKUSHU WHISKY 12YO 3S   700ML,700,4901777256149,yes,
needs decision,Talisker 10 Year Old,700,TALISKER MALT 10YO       700ML,700,5000281005416,yes,
needs decision,Talisker 10 Year Old,700,TALISKER MALT STORM      700ML,700,5000281032733,yes,
needs decision,Talisker 10 Year Old,700,TALISKER SKYE 45.8%      700ML,700,5000281038094,yes,
needs decision,Talisker Storm,700,TALISKER MALT STORM      700ML,700,5000281032733,yes,
needs decision,Talisker Storm,700,TALISKER MALT 10YO       700ML,700,5000281005416,yes,
needs decision,Talisker Storm,700,TALISKER SKYE 45.8%      700ML,700,5000281038094,yes,
needs decision,Indri Trini,700,INDRI IND SINGLE MALT WHISKY 700,,8908005173939,yes,
needs decision,Laphroaig 10 Year Old,700,LAPHROAIG 10YO MALT 40%  700ML,700,5010019640260,yes,
needs decision,Laphroaig 10 Year Old,700,LAPHROAIG SELECT 40%     700ML,700,5010019637529,yes,
needs decision,Aberlour 12 Year Old,700,ABERLOUR 12YO SCOTCH     700ML,700,3047100056251,yes,
needs decision,Aberlour 14 Year Old,700,ABERLOUR 12YO SCOTCH     700ML,700,3047100056251,yes,
needs decision,Archie Rose Single Malt Whisky,700,ARCHIE ROSE SIG DRY GIN  700ML,700,9350657004779,yes,
needs decision,Aberlour Abunadh,700,ABERLOUR 12YO SCOTCH     700ML,700,3047100056251,yes,
needs decision,Chivas Regal 18,700,CHIVAS REGAL SCOTCH 12YO 700ML,700,80432402931,NO - check digit fails,
needs decision,Chivas Regal 18,700,CHIVAS REGAL SCOTCH XV   700ML,700,5000299622049,yes,
needs decision,Chivas Regal 18,700,CHIVAS REGAL ROYAL SALUTE,,9300601363537,yes,
needs decision,Jameson Black Barrel,700,JAMESON CASKMATES IPA ED 700ML,700,5011007025960,yes,
needs decision,Jameson Black Barrel,700,JAMESON CASKMATES STOUT  700ML,700,5011007025410,yes,
needs decision,Jameson Black Barrel,700,JAMESON IRISH WSKY       700ML,700,5011007003005,yes,
needs decision,Glenfiddich 12 Year Old,700,GLENFIDDICH MALT 12YO    700ML,700,5010327115115,yes,
needs decision,Glenfiddich 12 Year Old,700,GLENFIDDICH SPECIAL RESERVE 700M,,5010327000176,yes,
needs decision,Laphroaig Oak Select,700,LAPHROAIG SELECT 40%     700ML,700,5010019637529,yes,
needs decision,Laphroaig Oak Select,700,LAPHROAIG 10YO MALT 40%  700ML,700,5010019640260,yes,
needs decision,Chivas Regal 12,700,CHIVAS REGAL SCOTCH 12YO 700ML,700,80432402931,NO - check digit fails,
needs decision,Chivas Regal 12,700,CHIVAS REGAL SCOTCH XV   700ML,700,5000299622049,yes,
needs decision,Chivas Regal 12,700,CHIVAS REGAL ROYAL SALUTE,,9300601363537,yes,
needs decision,Monkey Shoulder,700,MONKEY SHOULDER SCOTCH   700ML,700,5010327105215,yes,
needs decision,Johnnie Walker Black Label,700,JOHNNIE WALKER BLACK,,5000267098463,yes,
needs decision,Johnnie Walker Black Label,700,JOHNNIE WALKER BLACK,,5000267098470,yes,
needs decision,Johnnie Walker Black Label,700,JOHNNIE WALKER BLACK BIS 375ML,375,5000267098715,yes,
needs decision,Amrut Fusion,700,AMRUT FUSION IND SNGL MALT,,8901193004122,yes,
needs decision,Amrut Fusion,700,AMRUT RAJ IGALA IND SNGL MALT,,8901193501522,yes,
needs decision,Glenfiddich 18 Year Old,700,GLENFIDDICH MALT 12YO    700ML,700,5010327115115,yes,
needs decision,Glenfiddich 18 Year Old,700,GLENFIDDICH SPECIAL RESERVE 700M,,5010327000176,yes,
needs decision,Dimple 12 Year Old,700,DIMPLE SCOTCH 12YO       700ML,700,5000281012872,yes,
needs decision,Rampur Double Cask,700,RAMPUR DBL CASK SGLE MALT 700ML,700,8902147004052,yes,
needs decision,Johnnie Walker 18 Year Old,700,JOHNNIE WALKER BLACK,,5000267098463,yes,
needs decision,Johnnie Walker 18 Year Old,700,JOHNNIE WALKER BLACK,,5000267098470,yes,
needs decision,Johnnie Walker 18 Year Old,700,JOHNNIE WALKER BLACK BIS 375ML,375,5000267098715,yes,
needs decision,Royal Salute 21 Year Old,700,CHIVAS REGAL ROYAL SALUTE,,9300601363537,yes,
needs decision,Johnnie Walker Double Black,700,JOHNNIE WALKER BLACK,,5000267098463,yes,
needs decision,Johnnie Walker Double Black,700,JOHNNIE WALKER BLACK,,5000267098470,yes,
needs decision,Johnnie Walker Double Black,700,JOHNNIE WALKER BLACK BIS 375ML,375,5000267098715,yes,
needs decision,Makers Mark,1000,MAKERS MARK BOURBON 40%  700ML,700,85246500071,NO - check digit fails,
needs decision,1800 Silver,700,1800 SILVER TEQUILA      700ML,700,7501035013117,yes,
needs decision,1800 Silver,700,1800 COCONUT TEQUILA 700ML,700,7501035013742,yes,
needs decision,1800 Silver,700,1800 REPOSADO TEQUILA    700ML,700,7501035013124,yes,
needs decision,1800 Reposado,700,1800 REPOSADO TEQUILA    700ML,700,7501035013124,yes,
needs decision,1800 Reposado,700,1800 COCONUT TEQUILA 700ML,700,7501035013742,yes,
needs decision,1800 Reposado,700,1800 SILVER TEQUILA      700ML,700,7501035013117,yes,
needs decision,1800 Anejo,700,1800 COCONUT TEQUILA 700ML,700,7501035013742,yes,
needs decision,1800 Anejo,700,1800 REPOSADO TEQUILA    700ML,700,7501035013124,yes,
needs decision,1800 Anejo,700,1800 SILVER TEQUILA      700ML,700,7501035013117,yes,
needs decision,1800 Cristalino,700,1800 COCONUT TEQUILA 700ML,700,7501035013742,yes,
needs decision,1800 Cristalino,700,1800 REPOSADO TEQUILA    700ML,700,7501035013124,yes,
needs decision,1800 Cristalino,700,1800 SILVER TEQUILA      700ML,700,7501035013117,yes,
needs decision,Patron Xo Cafe,750,PATRON ANEJO             700ML,700,721733000715,yes,
needs decision,Patron Xo Cafe,750,PATRON REPOSADO          700ML,700,721733000722,yes,
needs decision,Patron Xo Cafe,750,PATRON SILVER            700ML,700,721733000739,yes,
needs decision,Jose Cuervo Especial Silver,700,JOSE CUERVO ESP GOLD TEQ 700ML,700,82000491651,NO - check digit fails,
needs decision,Jose Cuervo Especial Silver,700,JOSE CUERVO ESP GOLD TEQ 700ML,700,7501035042131,yes,
needs decision,Jose Cuervo Especial Silver,700,JOSE CUERVO ESP SILV TEQ 700ML,700,7501035042308,yes,
needs decision,Jose Cuervo Especial Reposado,700,JOSE CUERVO ESP GOLD TEQ 700ML,700,82000491651,NO - check digit fails,
needs decision,Jose Cuervo Especial Reposado,700,JOSE CUERVO ESP GOLD TEQ 700ML,700,7501035042131,yes,
needs decision,Jose Cuervo Especial Reposado,700,JOSE CUERVO ESP SILV TEQ 700ML,700,7501035042308,yes,
needs decision,Sierra Tequila Reposado,700,SIERRA GOLD TEQUILA 700ML,700,4062400543125,yes,
needs decision,Sierra Tequila Reposado,700,SIERRA TEQUILA 700ML,700,4062400115483,yes,
needs decision,Sierra Tequila Reposado,700,SIERRA TEQUILA BLANCO 38%700ML,700,4062400159104,yes,
needs decision,El Jimador Reposado,700,EL JIMADOR TEQUILA BLANC 700ML,700,7501145268100,yes,
needs decision,El Jimador Reposado,700,EL JIMADOR TEQUILA REPOS 700ML,700,7501145269107,yes,
needs decision,El Jimador Blanco,700,EL JIMADOR TEQUILA BLANC 700ML,700,7501145268100,yes,
needs decision,El Jimador Blanco,700,EL JIMADOR TEQUILA REPOS 700ML,700,7501145269107,yes,
