Status,Spirithaus product,Size mL,Proposed barcode,GS1 check,ALM item,ALM description,Note,YOUR CALL (y/n)
WRITTEN,1800 Añejo Tequila,700,5029977351026,pass,00586404,1800 ANEJO TEQUILA       700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,42 Below Vodka,700,9421012620207,pass,00367457,42 BELOW VODKA         N 700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Absolut Lime Vodka 700mL,,7312040551668,pass,00905909,ABSOLUT VODKA LIME       700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Absolut Vodka,1000,7312040017034,pass,00565474,ABSOLUT VODKA               1L,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Absolut Vodka,700,7312040017683,pass,00566323,ABSOLUT VODKA            700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Appleton Estate Signature Blend,700,5024576189100,pass,00425085,APPLETON EST SIG BLEND   700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Archie Rose TrueCut Vodka,700,9350657005226,pass,00052112,ARCHIE ROSE TRUECUT VODKA700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Bacardi Carta Blanca,700,5010677014205,pass,00367627,BACARDI CARTA BLANCA    N700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Belvedere Vodka,700,5901867816641,pass,00536718,BELVEDERE VODKA          700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Brookie's Byron Dry Gin,700,9351233000000,pass,00848445,BROOKIE'S BYRON DRY GIN  700ML,trailing zeros - eyeball the bottle,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Buffalo Trace Kentucky Straight Bourbon,700,0080244009984,pass,00539656,BUFFALO TRACE BOURBON    700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Chandon Brut NV,750,9315321200000,pass,00794984,CHANDON BRUT NV          750ML,trailing zeros - eyeball the bottle,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Chivas Regal 18 Year Old Blended Scotch Whisky,700,5000299225004,pass,00540893,CHIVAS REGAL SCOTCH 18YO 700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Cloudy Bay Chardonnay,750,9418408050014,pass,00558176,CLOUDY BAY CHARDONNAY    750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Cloudy Bay Pinot Noir,750,9418408080011,pass,00558558,CLOUDY BAY PINOT NOIR    750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Cloudy Bay Sauvignon Blanc,750,9418408030016,pass,00567353,CLOUDY BAY SAUV BLANC    750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Cloudy Bay Te Koko,750,9418408040015,pass,00807240,CLOUDY BAY TE KOKO       750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Curatif Negroni Cans 130ml,140,9369998038879,pass,00869904,CURATIF NEGRONI CAN      140ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Curatif Pina Colada,130,9355471000563,pass,00663984,CURATIF PINA COLADA      130ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Da Luca Prosecco,750,5010134912990,pass,00222369,DA LUCA PROSECCO         750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,De Bortoli Rose Rose,750,9300752050355,pass,00770650,DE BORTOLI ROSE ROSE     750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Espolón Tequila Reposado,700,0664804000941,pass,00574525,ESPOLON TEQ REPOSADO     700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Gossips Moscato Pink,750,9313748006342,pass,00541412,GOSSIPS MOSCATO PINK     750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Grey Goose Vodka,700,5010677850100,pass,00367978,GREY GOOSE VODKA       N 700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Haku Vodka 700ml,700,4901777284920,pass,00860141,HAKU VODKA 40%           700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Henschke Keyneton Estate,750,9320909001306,pass,00511653,HENSCHKE KEYNETON ESTATE 750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Ink Gin,700,9369999046026,pass,00663374,INK GIN 40%              700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Jack Daniel's Tennessee Honey,700,0082184042397,pass,00558634,J/DANIEL TENNESSEE HONEY 700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Jameson Black Barrel Irish Whiskey,700,5011007025854,pass,00642849,JAMESON BLACK BARREL     700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Jim Barry McRae Shiraz,750,9314487217976,pass,00543595,JIM BARRY MCRAE SHIRAZ   750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Jim Beam Black Label,700,0080686003502,pass,00536289,JIM BEAM BLACK LABEL 40% 700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Johnnie Walker Double Black Blended Scotch Whisky,700,5000267115443,pass,00542950,J/WALKER DBL  BLACK      700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Ketel One Vodka 700ml,700,8711566013701,pass,00857180,KETEL ONE VODKA          700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Krug Grande Cuvée,750,3258064128803,pass,00419652,KRUG GRANDE CUVEE NV GIFT750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,La Vieille Ferme Rose,750,3296180000146,pass,00501970,LA VIEILLE FERME ROSE    750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Lagavulin 16 Year Old Single Malt Whisky,700,5000281005409,pass,00572934,LAGAVULIN MALT 16YO      700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Maker's Mark Kentucky Straight Bourbon,700,0085246500071,pass,00522201,MAKERS MARK BOURBON 40%  700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,McGuigan Black Label Red,750,0764253500204,pass,00518524,MCGUIGAN BLK LBL RED     750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,McGuigan Black Label Sparkling Shiraz,750,0764253951112,pass,00767686,MCGUIGAN BLK LBL SPK SHZ 750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Moet Chandon Rose,750,3185370074831,pass,00556506,MOET CHANDON BRUT ROSE   750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Nikka From The Barrel Japanese Whisky,500,4904230100683,pass,00576771,NIKKA WHISKY FROM BARREL 500ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Penfolds Koonunga Hill Cabernet Sauvignon,750,9310297652372,pass,00855798,PENFOLDS K/HILL CAB SAV  750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Penfolds Koonunga Hill Shiraz,750,9310297650170,pass,00593320,PENFOLDS K/HILL SHIRAZ   750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,R de Ruinart Brut,750,3185370283905,pass,00575220,R DE RUINART BRUT        750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Reyka Vodka,700,5010327405247,pass,00585241,REYKA VODKA              700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Seaview Sparkling Shiraz,750,9300620533843,pass,00782296,SEAVIEW SPARKLING SHIRAZ 750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Shaw + Smith M3 Chardonnay,750,9316770010127,pass,00505238,SHAW & SMITH M3 CHARD    750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Shaw + Smith Sauvignon Blanc,750,9316770611027,pass,00542418,SHAW & SMITH SAUV BLANC  750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Squealing Pig Rose,750,9415305436057,pass,00480941,SQUEALING PIG ROSE       750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Taittinger NV Brut,750,3016570001030,pass,00786614,TAITTINGER NV BRUT       750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Tequila Blu,700,9329982019802,pass,00585186,TEQUILA BLU REPOSADO 38% 700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,The Dubliner Irish Whiskey Liqueur,700,5390424120428,pass,00577175,DUBLINER IRISH WSKY LIQ  700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Tito's Handmade Vodka,700,0619947000112,pass,00096108,TITOS HANDMADE VODKA     700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Turkey Flat Rosé,750,9329967000153,pass,00770980,TURKEY FLAT ROSE         750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Upside Down Rose,750,9415305000357,pass,00939592,UPSIDE DOWN ROSE         750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Upside Down Sauvignon Blanc,750,9415305499618,pass,00545259,UPSIDE DOWN SAUV BLANC   750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Vasse Felix Cabernet Sauvignon,750,9315032001170,pass,00525204,VASSE FELIX CAB SAUV     750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Vodka O,700,9329982019901,pass,00585136,VODKA O                  700ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Wynns The Siding Cabernet Sauvignon,750,9300620000642,pass,00530212,WYNNS SIDING CAB SAV     750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Yalumba Signature Cabernet Shiraz,750,9311789000855,pass,00543008,YALUMBA SIGNATURE CAB SHZ750ML,,"y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Penfolds Koonunga Hill Shiraz Cabernet,,9310297010905,pass,,PENFOLDS K/HILL SHZ CAB  750ML,"750ml confirmed by owner; distinct wine, not a duplicate - store carries Shiraz, Cab Sauv and the Shiraz Cabernet blend as three products","y - owner confirmed 2026-09-25, written & verified"
WRITTEN,Sierra Tequila Reposado,700,4062400159203,pass,,SIERRA TEQUILA REPOS 38% 700ML,38% chosen - matches the block Sierra Silver already sits in,"y - owner confirmed 38%, written & verified"
WRITTEN,Tread Softly Rose,750,9344154013969,pass,,TREAD SOFTLY ROSE        750ML,standard confirmed by owner (not the 5% or 0% line),"y - owner confirmed 2026-09-25, written & verified"
