Product,Our cost,Why it could not be written automatically,ALM candidate 1,ALM candidate 2,ALM candidate 3,Barcode (FILL from bottle or ALM portal)
821 South Marlborough Sauvignon Blanc,11.28,cost matched but name did not,DUNES & GREENE BRUT      750ML,PENFOLDS K/HILL SHZ CAB  750ML,PENFOLDS K/HILL CAB SAV  750ML,
Absolut Vodka,15.0,cost matched but name did not,EMERI PINK MOSCATO    24*200ML,,,
Albert Bichot Gevrey Chambertin,94.36,matched 31056806 but no APN on file,ALBERT BICHOT GEVREY CHAMBERTIN 750ML,,,
Andrew Garrett Sparkling Shiraz NV,10.14,cost matched but name did not,JACOBS CK RES CAB SAUV   750ML,JACOBS CK RES SHIRAZ     750ML,JACOBS CK RES CHARDONNAY 750ML,
Ayala Brut Majeur NV,86.56,matched 31308960 but no APN on file,AYALA BRUT MAJEUR NV 750ML ,,,
Banfi DOCG Chianti Classico,36.66,matched 30840650 but no APN on file,BANFI DOCG CHIANTI CLASSICO 750ML,,,
Banfi DOCG Chianti Classico Riserva,46.12,matched 30840642 but no APN on file,BANFI DOCG CHIANTI CLASSICO RISERVA 750ML,,,
Beaurenard Chateau Blanc Chateauneuf du Pape,74.02,matched 31494127 but no APN on file,BEAURENARD CHATEAU BLANC CHATEAUNEUF DU PAPE 750ML,,,
BenRiach The Original Ten Single Malt Whisky,75.04,cost matched but name did not,BENRIACH 10YO            700ML,,,
Billecart Salmon Brut Sous Bois,162.79,matched 31088358 but no APN on file,BILLECART SALMON BRUT SOUS BOIS 750ML,,,
Billecart-Salmon Brut Rosé,162.79,matched 31088358 but no APN on file,BILLECART SALMON BRUT SOUS BOIS 750ML,,,
Bollinger La Grande Année,269.61,matched 31308986 but no APN on file,BOLLINGER LA GRANDE ANNEE 2015 750ML,,,
Bollinger Pinot Noir Tx20 Blanc de Noirs Champagne,176.19,matched 31486019 but no APN on file,BOLLINGER PN TX20 BLANC DE NOIRS CHAMPAGNE GB 750ML,,,
Bollinger Rose NV,134.81,matched 728242 but no APN on file,BOLLINGER ROSE NV GB     750ML,,,
Brokenwood Graveyard Shiraz,301.54,matched 513207 but no APN on file,BROKENWOOD GRAVEYARD SHIRAZ 750ML,,,
Brookie's Byron Dry Gin & Tonic,16.16,cost matched but name did not,CHAFFEY B NOT GRDMA RIES 750ML,LITTLE ANGEL MARLBOROUGH SAUVIGNON BLANC 750ML,,
Brookie's Byron Dry Gin & Tonic,96.96,cost matched but name did not,XANADU RESERVE CABERNET SAUV 750ML,,,
Brookie's Slow Gin,55.09,cost matched but name did not,ROKU GIN SAKURA BLOOM 43%700ML,ROKU GIN 43%             700ML,PRICE'S WINES 2021 BLOCK 3 RESERVE SHIRAZ 750ML,
Brown Brothers Moscato,12.35,cost matched but name did not,LIND G/M CAB SAUV        750ML,LIND G/M SHIRAZ          750ML,LIND G/M TAWNY NV        750ML,
Brown Brothers Moscato Rose,12.35,cost matched but name did not,LIND G/M CAB SAUV        750ML,LIND G/M SHIRAZ          750ML,LIND G/M TAWNY NV        750ML,
Cape Mentelle Chardonnay Margaret River,47.06,several ALM rows match cost+name,CAPE MENTELLE SHIRAZ MARGARET RIVER 750ML,CAPE MENTELLE CHARDONNAY MARGARET RIVER 750ML,CAPE MENTELLE CAB SAUV MARGARET RIVER 750ML,
Cape Mentelle Heritage Cabernet Margaret River,97.91,several ALM rows match cost+name,CAPE MENTELLE HERITAGE CHARDONNAY MARGARET RIVER 750ML,CAPE MENTELLE HERITAGE CAB MARGARET RIVER 750ML,,
Cape Mentelle Heritage Chardonnay Margaret River,97.91,several ALM rows match cost+name,CAPE MENTELLE HERITAGE CHARDONNAY MARGARET RIVER 750ML,CAPE MENTELLE HERITAGE CAB MARGARET RIVER 750ML,,
Cape Mentelle Wallcliffe Cabernet Franc,42.33,several ALM rows match cost+name,CAPE MENTELLE WALLCLIFFE CABERNET FRANC 750ML,CAPE MENTELLE WALLCLIFFE SAUVIGNON BLANC 750ML,,
Cape Mentelle Wallcliffe Sauvignon Blanc,42.33,several ALM rows match cost+name,CAPE MENTELLE WALLCLIFFE CABERNET FRANC 750ML,CAPE MENTELLE WALLCLIFFE SAUVIGNON BLANC 750ML,,
Cape Mentelle Zinfandel Margaret River,47.06,several ALM rows match cost+name,CAPE MENTELLE SHIRAZ MARGARET RIVER 750ML,CAPE MENTELLE CHARDONNAY MARGARET RIVER 750ML,CAPE MENTELLE CAB SAUV MARGARET RIVER 750ML,
Casali del Barone Barolo 2020,57.94,matched 31357650 but no APN on file,CASALI DEL BARONE BAROLO 2020 750ML,,,
Champagne Deutz Amour de Deutz Brut Millesime 2011,319.84,matched 30818035 but no APN on file,CHAMPAGNE DEUTZ AMOUR DE DEUTZ BRUT MILLESIME 2011 750ML,,,
Champagne Deutz Brut Rose,104.56,matched 532683 but no APN on file,CHAMPAGNE DEUTZ BRUT ROSE750ML,,,
Champagne Deutz Brut Rose NV,126.81,matched 31412913 but no APN on file,CHAMPAGNE DEUTZ BRUT ROSE NV 750ML,,,
Champagne Laurent-Perrier la Cuvee,97.46,matched 772136 but no APN on file,CHAMPAGNE LAURENT-PERRIER LA CUVEE 750ML,,,
Chateau Galeteau Cuvee Eleonore Saint Emilion Grand Cru 2022,51.32,matched 31354783 but no APN on file,CHATEAU GALETEAU CUVEE ELEONORE SAINT EMILION GRAND CRU 2022 750ML,,,
Chateau d'Esclans Rock Angel,60.65,cost matched but name did not,ESCLANS ROCK ANGEL 750ML,,,
Chateau de Maligny Chablis Carre de Cesar 2025,79.92,matched 31432573 but no APN on file,CHATEAU DE MALIGNY CHABLIS CARRÉ DE CÉSAR 2025 12.5% 750ML,,,
Chateau de Maligny Chablis Vieilles Vignes 2025,84.18,matched 31432565 but no APN on file,CHATEAU DE MALIGNY CHABLIS VIEILLES VIGNES 2025 12.5% 750ML,,,
Chateau de Maligny Petit Chablis 2023,53.32,matched 30972457 but no APN on file,CHATEAU DE MALIGNY PETIT CHABLIS 2023 750ML,,,
Chiappini DOC Bolgheri Rosso Ferruggini,43.75,matched 30838386 but no APN on file,CHIAPPINI DOC BOLGHERI ROSSO FERRUGGINI 750ML,,,
Chrismont La Zona Pinot Grigio,17.74,several ALM rows match cost+name,CHRISMONT LA ZONA PROSECCO NV 750ML,CHRISMONT LA ZONA PINOT GRIGIO 2024 750ML,,
Château d'Esclans Garrus,230.2,cost matched but name did not,ESCLANS GARRUS 750ML,,,
Cloudy Bay Te Wahi,111.21,matched 30818027 but no APN on file,CLOUDY BAY TE WAHI 750ML,,,
Collet Art Deco Brut NV,92.23,matched 31357024 but no APN on file,COLLET ART DECO BRUT NV 750ML ,,,
Collet Rose,98.15,matched 31357147 but no APN on file,COLLET ROSE 750ML,,,
Collet Vintage 2014,122.98,matched 31357121 but no APN on file,COLLET VINTAGE 2014 750ML,,,
Curatif Negroni Cans 130ml,29.56,cost matched but name did not,ZEMA ESTATE SPARKLING MERLOT 2021 750ML,JOSEPH DROUHIN BEAUJOLAIS VILLAGES 750ML,GORGHI TONDI DOC SICILIA MIDOR CATARATTO 750ML,
Curatif Pina Colada,29.56,cost matched but name did not,ZEMA ESTATE SPARKLING MERLOT 2021 750ML,JOSEPH DROUHIN BEAUJOLAIS VILLAGES 750ML,GORGHI TONDI DOC SICILIA MIDOR CATARATTO 750ML,
Curatif Spicy Margarita,32.4,cost matched but name did not,CHATEAU J/FAUX L/S M/CAB 750ML,FAMILIA MARTINEZ ZABALA FAUSTINO VII TEMPRANILLO 2022 750ML,TERRA SANCTA ESTATE PINOT NOIR 750ML,
Dal Zotto Pucino Prosecco,16.6,several ALM rows match cost+name,DAL ZOTTO PUCINO SPRITZ  750ML,DAL ZOTTO PUCINO PROSEC  750ML,,
De Bortoli King Valley Prosecco,13.01,cost matched but name did not,REDBANK VIC SAUV BLANC   750ML,REDBANK VIC PINOT GRIGIO 750ML,REDBANK VIC SHIRAZ       750ML,
Diego Rivetti Barolo Elda 2022,85.8,matched 31467007 but no APN on file,DIEGO RIVETTI BAROLO ELDA 2022 750ML,,,
Dom Perignon Rose,662.31,matched 30817843 but no APN on file,DOM PERIGNON ROSE GB 750ML,,,
Domaine Christian Salmon Sancerre Ac,46.12,matched 30872924 but no APN on file,DOMAINE CHRISTIAN SALMON SANCERRE AC 750ML,,,
Donne Fittipaldi Bolgheri Rosso,44.0,cost matched but name did not,DONNE FITTPALDI BOLGHERI RUSSO 750ML,CEL24 JUNMAI-DAIGINJO 50 720ML,KEIGETSU NIGORI JUNMAI-DAIGINJO 50 720ML,
Donne Fittipaldi Bolgheri Tuscany 2022,61.49,matched 31354814 but no APN on file,DONNE FITTIPALDI BOLGHERI TUSCANY 2022 750ML,,,
Donne Fittipaldi Malaroja Malbec Super Tuscan,119.9,cost matched but name did not,DONNE FITTPALDI MALAROJA MALBEC SUPER TUSCAN 750ML,,,
Dow's 30 Year Old Tawny Port,133.97,matched 30948107 but no APN on file,DOW'S 30YO TAWNY PORT 750ML,,,
Dow's Colheita Tawny Port Portugal,52.77,matched 30818043 but no APN on file,DOW'S COLHEITA TAWNY PORT PORTUGAL 750ML,,,
Eileen Hardy Pinot Noir V21,102.88,several ALM rows match cost+name,EILEEN HARDY PNT NOIR    750ML,EILEEN HARDY PINOT NOIR V21 750ML,,
Eileen Hardy Shiraz V20,111.15,matched 31263306 but no APN on file,EILEEN HARDY SHIRAZ V20 750ML,,,
Farina Amarone della Valpolicella Classico DOCG Veneto Italy,69.3,matched 30829426 but no APN on file,FARINA AMARONE DELLA VALPOLICELLA CLASSICO DOCG VENETO ITALY 750ML,,,
First Drop Fat Of the Land Seppeltsfield Shiraz 2021,106.42,several ALM rows match cost+name,FIRST DROP FAT OF THE LAND SEPPELTSFIELD SHIRAZ 2021 750ML,FIRST DROP FAT OF THE LAND EBENEZER SHIRAZ 2021 750ML,FIRST DROP FAT OF THE LAND GREENOCK SHIRAZ 2021 750ML,
Fontanafredda Barolo Proprieta DOCG Italy,115.8,matched 30818085 but no APN on file,FONTANAFREDDA BAROLO PROPRIETA DOCG ITALY 750ML,,,
Fontanafredda Serralunga d'Alba Barolo DOCG Italy,67.55,matched 30818108 but no APN on file,FONTANAFREDDA SERRALUNGA D'ALBA BAROLO DOCG ITALY 750ML,,,
Fontanafredda Vigna la Rosa Barolo DOCG Italy,130.28,matched 30818093 but no APN on file,FONTANAFREDDA VIGNA LA ROSA BAROLO DOCG ITALY 750ML,,,
Four Pillars Bloody Shiraz Gin,68.29,cost matched but name did not,MERCURY HARD CDR      24*375ML,,,
Four Pillars Yuzu Gin & Soda,14.4,cost matched but name did not,STICKS PINOT GRIGIO      750ML,STICKS PINOT NOIR        750ML,ST HUBERTS STAG ROSE     750ML,
Gentleman Jack Tennessee Whiskey 700mL,55.69,cost matched but name did not,COPPER DOG WHISKY        700ML,,,
Giboulot Beaune Clos du Roi 1er Cru,102.88,matched 30838140 but no APN on file,GIBOULOT BEAUNE CLOS DU ROI 1ER CRU 750ML,,,
Giovanni Rosso Barolo Serralunga d'Alba del Comune,92.36,matched 30877259 but no APN on file,GIOVANNI ROSSO BAROLO SERRALUNGA D'ALBA DEL COMUNE 750ML,,,
Glenfiddich 18 Year Old Small Batch Single Malt Whisky,174.86,cost matched but name did not,GLENFIDDICH 18YO         700ML,,,
Gossips Sweet Lips Moscato,4.37,cost matched but name did not,BULLEIT & COLA 4.8%     C375ML,,,
Grant Burge Meshach Shiraz V19,171.36,matched 31312773 but no APN on file,GRANT BURGE MESHACH SHIRAZ V19 750ML,,,
Greywacke Chardonnay - Marlborough New Zealand,41.74,matched 30829719 but no APN on file,GREYWACKE CHARDONNAY - MARLBOROUGH NEW ZEALAND 750ML,,,
Greywacke Pinot Noir Marlborough New Zealand,43.95,matched 30829727 but no APN on file,GREYWACKE PINOT NOIR MARLBOROUGH NEW ZEALAND 750ML,,,
Greywacke Wild Sauvignon,38.5,matched 30829701 but no APN on file,GREYWACKE WILD SAUVIGNON - MARLBOROUGH NEW ZEALAND 750ML,,,
Hardys Eileen Hardy Chardonnay V21,104.06,several ALM rows match cost+name,HARDYS EILEEN HARDY CHARDONNAY V21 750ML,HARDYS EILEEN HARDY CHARDONNAY V21 750ML,,
Hentley Farm Clos Otto Shiraz,205.75,matched 31057103 but no APN on file,HENTLEY FARM CLOS OTTO SHIRAZ 750ML,,,
Hentley Farm Old Legend Grenache,57.0,matched 31495432 but no APN on file,HENTLEY FARM OLD LEGEND GRENACHE 750ML,,,
Hentley Farm Quint Shiraz,48.01,matched 31495440 but no APN on file,HENTLEY FARM QUINT SHIRAZ 750ML,,,
House of Arras Brut Elite Rose,46.83,cost matched but name did not,ARRAS BRUT ELITE ROSE 750ML,,,
House of Arras EJ Carr Late Disgorged,185.89,matched 30956875 but no APN on file,HOUSE OF ARRAS EJ CARR LATE DISGORGED GIFT PACK 750ML,,,
House of Arras Vintage Blanc de Blancs,93.89,cost matched but name did not,ARRAS VINTAGEBLANCDEBLANC750ML,ARRAS VINTAGE ROSE 750ML,,
House of Arras Vintage Rose,93.89,cost matched but name did not,ARRAS VINTAGEBLANCDEBLANC750ML,ARRAS VINTAGE ROSE 750ML,,
Jacob's Creek Sparkling Chardonnay Pinot Noir,6.85,cost matched but name did not,FEVER TREE GRAPEFRUIT  4*200ML,FEVER TREE LIME&YUZU B4*200ML,WILD TURKEY RARE&CL8% BT 320ML,
Jacob's Creek Sparkling Rose,6.85,cost matched but name did not,FEVER TREE GRAPEFRUIT  4*200ML,FEVER TREE LIME&YUZU B4*200ML,WILD TURKEY RARE&CL8% BT 320ML,
