Handle,Consumer barcode (Plu),POS description,Source
four-pillars-rare-dry-gin,9349749000164,FOUR PILLARS RARE DRY GIN 700ML,"Trafalgar POS product_report.dat, Plu column"
jameson-stout-edition,5011007025410,JAMESON CASKMATES STOUT 700ML,"Trafalgar POS product_report.dat, Plu column"
jameson-ipa-edition,5011007025960,JAMESON CASKMATES IPA ED 700ML,"Trafalgar POS product_report.dat, Plu column"
starward-two-fold,9346943000174,STARWARD TWO-FOLD 700ML,"Trafalgar POS product_report.dat, Plu column"
talisker-skye,5000281038094,TALISKER SKYE 45.8% 700ML,"Trafalgar POS product_report.dat, Plu column"
patron-silver,721733000739,PATRON SILVER 700ML,"Trafalgar POS product_report.dat, Plu column"
don-julio-blanco,7506064300160,DON JULIO BLANCO 38% 700ML,"Trafalgar POS product_report.dat, Plu column"
patron-anejo,721733000715,PATRON ANEJO 700ML,"Trafalgar POS product_report.dat, Plu column"
bombay-sapphire-gin,5010677714006,BOMBAY SAPPHIRE GIN 700ML,"Trafalgar POS product_report.dat, Plu column"
gordons-london-dry-gin,9310495069514,GORDONS DRY GIN 37% 700ML,"Trafalgar POS product_report.dat, Plu column"
hendricks-gin,5010327755014,HENDRICKS GIN 700ML,"Trafalgar POS product_report.dat, Plu column"
roku-japanese-craft-gin,4901777305359,ROKU GIN 43% 700ML,"Trafalgar POS product_report.dat, Plu column"
