Group,Handle,Needs,Current price,Cost ex GST (fill),Sell price (fill),Notes
Cabernet & Bordeaux blends,penfolds-grange,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,wynns-coonawarra-estate-michael-shiraz,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,penfolds-st-henri-shiraz,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,penfolds-bin-707-cabernet-sauvignon,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,moss-wood-cabernet-sauvignon,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,vasse-felix-tom-cullity,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,wynns-coonawarra-estate-john-riddoch-cabernet-sauvignon,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,parker-coonawarra-estate-first-growth,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,penfolds-bin-407-cabernet-sauvignon,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,katnook-estate-merlot,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,coriole-merlot,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,chateau-cantemerle-haut-medoc,PRICE + COST,0.00,,,
Cabernet & Bordeaux blends,yalumba-the-scribbler,PRICE + COST,0.00,,,
Pinot Noir,bass-phillip-reserve-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,bindi-block-5-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,mount-mary-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,by-farr-sangreal,PRICE + COST,0.00,,,
Pinot Noir,paringa-estate-the-paringa-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,yabby-lake-single-block-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,ashton-hills-reserve-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,tolpuddle-vineyard-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,giant-steps-applejack-vineyard-pinot-noir,PRICE + COST,0.00,,,
Pinot Noir,curly-flat-pinot-noir,PRICE + COST,0.00,,,
Grenache & Rhone,cirillo-1850-ancestor-vine-grenache,PRICE + COST,0.00,,,
Grenache & Rhone,torbreck-les-amis,PRICE + COST,0.00,,,
Grenache & Rhone,yangarra-estate-high-sands-grenache,PRICE + COST,0.00,,,
Grenache & Rhone,chateau-de-beaucastel-chateauneuf-du-pape,PRICE + COST,0.00,,,
Grenache & Rhone,vieux-telegraphe-la-crau,PRICE + COST,0.00,,,
Grenache & Rhone,bekkers-grenache,PRICE + COST,0.00,,,
Grenache & Rhone,s-c-pannell-smart-vineyard-grenache,PRICE + COST,0.00,,,
Grenache & Rhone,ochota-barrels-fugazi-vineyard-grenache,PRICE + COST,0.00,,,
Grenache & Rhone,d-arenberg-the-derelict-vineyard-grenache,PRICE + COST,0.00,,,
