Tier,Needs,Category,Product,Current price,Known cost,In stock? (y/n),Cost ex GST per bottle (FILL),Photo source (shoot/supplier/na),Filename 01 (front),Filename 02 (back),SKU,Shopify handle
"A - LIVE, margin unknown",COST,Red,Henschke Hill of Grace,949.99,,,,,henschke-hill-of-grace-01.jpg,henschke-hill-of-grace-02.jpg,SH-FINE-HENSCHKE-HILL-OF-GRACE-750,henschke-hill-of-grace
"A - LIVE, margin unknown",COST,Champagne,Louis Roederer Cristal,529.99,,,,,louis-roederer-cristal-01.jpg,louis-roederer-cristal-02.jpg,SH-FINE-LOUIS-ROEDERER-CRISTAL-750,louis-roederer-cristal
"A - LIVE, margin unknown",COST,Champagne,Taittinger Comtes de Champagne Blanc de Blancs,450.00,,,,,taittinger-comtes-de-champagne-blanc-de-blancs-01.jpg,taittinger-comtes-de-champagne-blanc-de-blancs-02.jpg,SH-FINE-TAITTINGER-COMTES-DE-CHAMPAGNE-BLANC-DE-BLANCS-750,taittinger-comtes-de-champagne-blanc-de-blancs
"A - LIVE, margin unknown",COST,Red,Jim Barry The Armagh,419.29,,,,,jim-barry-the-armagh-01.jpg,jim-barry-the-armagh-02.jpg,SH-FINE-JIM-BARRY-THE-ARMAGH-750,jim-barry-the-armagh
"A - LIVE, margin unknown",COST,Red,Torbreck RunRig,330.00,,,,,torbreck-runrig-01.jpg,torbreck-runrig-02.jpg,SH-FINE-TORBRECK-RUNRIG-750,torbreck-runrig
"A - LIVE, margin unknown",COST,Red,Best's Thomson Family Shiraz,249.99,,,,,best-s-thomson-family-shiraz-01.jpg,best-s-thomson-family-shiraz-02.jpg,SH-FINE-BEST-S-THOMSON-FAMILY-SHIRAZ-750,best-s-thomson-family-shiraz
"A - LIVE, margin unknown",COST,Red,Cullen Diana Madeline,159.99,,,,,cullen-diana-madeline-01.jpg,cullen-diana-madeline-02.jpg,SH-FINE-CULLEN-DIANA-MADELINE-750,cullen-diana-madeline
"A - LIVE, margin unknown",COST,Red,Yalumba The Octavius,159.99,,,,,yalumba-the-octavius-01.jpg,yalumba-the-octavius-02.jpg,SH-FINE-YALUMBA-THE-OCTAVIUS-750,yalumba-the-octavius
"A - LIVE, margin unknown",COST,Red,Clonakilla Shiraz Viognier,139.99,,,,,clonakilla-shiraz-viognier-01.jpg,clonakilla-shiraz-viognier-02.jpg,SH-FINE-CLONAKILLA-SHIRAZ-VIOGNIER-750,clonakilla-shiraz-viognier
"A - LIVE, margin unknown",COST,Red,Howard Park Abercrombie Cabernet Sauvignon,129.99,,,,,howard-park-abercrombie-cabernet-sauvignon-01.jpg,howard-park-abercrombie-cabernet-sauvignon-02.jpg,SH-FINE-HOWARD-PARK-ABERCROMBIE-CABERNET-SAUVIGNON-750,howard-park-abercrombie-cabernet-sauvignon
"A - LIVE, margin unknown",COST,Other,Nikka Miyagikyo Single Malt Whisky,129.99,,,,,nikka-miyagikyo-single-malt-whisky-01.jpg,nikka-miyagikyo-single-malt-whisky-02.jpg,SH-WHY-NIKKA-MIYAGIKYO-SINGLE-MALT-700,nikka-miyagikyo-single-malt
"A - LIVE, margin unknown",COST,Red,Irvine Grand Merlot,119.99,,,,,irvine-grand-merlot-01.jpg,irvine-grand-merlot-02.jpg,SH-FINE-IRVINE-GRAND-MERLOT-750,irvine-grand-merlot
"A - LIVE, margin unknown",COST,Other,Karu Outcask Wild Rum,117.00,,,,,karu-outcask-wild-rum-01.jpg,karu-outcask-wild-rum-02.jpg,SH-RUM-KARU-OUTCASK-WILD-RUM-700,karu-outcask-wild-rum
"A - LIVE, margin unknown",COST,Other,Amrut Fusion Single Malt Whisky,109.99,,,,,amrut-fusion-single-malt-whisky-01.jpg,amrut-fusion-single-malt-whisky-02.jpg,SH-WHY-AMRUT-FUSION-700,amrut-fusion
"A - LIVE, margin unknown",COST,Other,Indri Trini Single Malt Whisky,109.99,,,,,indri-trini-single-malt-whisky-01.jpg,indri-trini-single-malt-whisky-02.jpg,SH-WHY-INDRI-TRINI-700,indri-trini
"A - LIVE, margin unknown",COST,Other,Rampur Double Cask Indian Single Malt Whisky,109.99,,,,,rampur-double-cask-indian-single-malt-whisky-01.jpg,rampur-double-cask-indian-single-malt-whisky-02.jpg,SH-WHY-RAMPUR-DOUBLE-CASK-700,rampur-double-cask
