Group,ALM description,ALM item code,Carton,Cost/btl,Price @25% GP,GP %,Range? (y/n)
Champagne,KRUG VINTAGE GB 750ML,30817893,6,670.07,893.99,25.0,
Champagne,DOM PERIGNON ROSE GB 750ML,30817843,6,662.31,883.99,25.1,
Champagne,PERRIER-JOU�T BELLE �POQUE BLANC DE BLANC 750ML,30839366,6,451.56,602.99,25.1,
Champagne,DOM PERIGNON 2015 GB EOY LIMITED EDITION 750ML,31021055,6,402.66,536.99,25.0,
Champagne,KRUG GRANDE CUVEE NV GIFT750ML,419652,6,402.46,536.99,25.1,
Champagne,CHAMPAGNE DEUTZ AMOUR DE DEUTZ BRUT MILLESIME 2011 750ML,30818035,6,319.84,426.99,25.1,
Champagne,VEUVE CLICQUOT LA GRANDE DAME GB 750ML,30815786,6,311.14,414.99,25.0,
Champagne,BOLLINGER LA GRANDE ANNEE 2015 750ML,31308986,6,269.61,359.99,25.1,
Champagne,LACOURTE-GODBILLON MONT AMES-MIGREATS PREMIER CRU (PINOT NOIR) - CHAMPAGNE FRANCE 750ML,30828810,6,212.30,283.99,25.2,
Champagne,RUINART ROSE SECOND SKIN 750ML,592913,6,182.35,243.99,25.3,
Champagne,BOLLINGER PN TX20 BLANC DE NOIRS CHAMPAGNE GB 750ML,31486019,6,176.19,234.99,25.0,
Champagne,RUINART BLC DE BLC SS GB 750ML,743632,6,174.82,233.99,25.3,
Champagne,BILLECART SALMON BRUT SOUS BOIS 750ML,31088358,6,162.79,217.99,25.3,
Champagne,VEUVE CLICQUOT ROSE RESERVE GB 750ML,30815778,6,147.04,196.99,25.4,
Champagne,CHAMPAGNE DEUTZ BRUT ROSE NV 750ML,31412913,6,126.81,169.99,25.4,
Champagne,COLLET VINTAGE 2014 750ML,31357121,6,122.98,163.99,25.0,
Champagne,MOET CHANDON VINT GB     750ML,687381,6,117.57,156.99,25.1,
Champagne,PERRIER-JOU�T BL DEBLANC +2 FLUTES 750ML,371207,6,117.12,156.99,25.4,
Champagne,LACOURTE-GODBILLON ROS� PREMIER CRU (PINOT NOIR) - CHAMPAGNE FRANCE 750ML,30828771,6,112.20,149.99,25.2,
Champagne,POL ROGER BRUT NON VINT  750ML,535437,6,102.21,136.99,25.4,
Champagne,CHAMPAGNE LAURENT-PERRIER LA CUVEE 750ML,772136,6,97.46,129.99,25.0,
Champagne,COLLET ART DECO BRUT NV 750ML,31357024,6,92.23,122.99,25.0,
Champagne,MOET CHANDON ROSE G/BOX  750ML,505961,6,86.37,115.99,25.5,
Champagne,TAITTINGER NV BRUT       750ML,786614,6,85.91,114.99,25.3,
Fortified,PENFOLDS GRT G/FATH 30YO 750ML,432100,6,260.87,347.99,25.0,
Fortified,DOW'S 30YO TAWNY PORT 750ML,30948107,6,133.97,178.99,25.2,
Fortified,SEPPELTSFIELD 21YO PARA TAWNY 2003  750ML,31044095,6,81.38,108.99,25.3,
Fortified,PENFOLDS GRANDFATHER 20YO750ML,507769,6,75.49,100.99,25.3,
Fortified,SEPPELTSFIELD PARA RARE TAWNY NV 15YO 750ML,932029,6,62.77,83.99,25.3,
Fortified,DOW'S COLHEITA TAWNY PORT PORTUGAL 750ML,30818043,6,52.77,70.99,25.7,
Red,PENFOLDS GRANGE SHZ 17GB 750ML,318961,3,824.59,1099.99,25.0,
Red,SAN POLO BRUNELLO DI MONTALCINO DOCG VIGNAVECCHIA 2017 SANGIOVESE TUSCANY ITALY 750ML,30830859,6,550.00,733.99,25.1,
Red,BROKENWOOD GRAVEYARD SHIRAZ 750ML,513207,3,301.54,402.99,25.2,
Red,POGGIO AL TESORO DEDICATO A WALTER BOLGHERI SUPERIORE DOC TUSCANY ITALY 750ML,30830485,6,275.00,366.99,25.1,
Red,JOSEPH DROUHIN GEVREY CHAMBERTIN 750ML,31057014,6,259.68,346.99,25.2,
Red,KAESLER OLD BASTARD SHIRAZ 750ML,31257135,6,249.98,333.99,25.2,
Red,KILIKANOON ATTUNGA 1865 SHIRAZ 2016 750ML,31354652,6,206.94,275.99,25.0,
Red,HENTLEY FARM CLOS OTTO SHIRAZ 750ML,31057103,6,205.75,274.99,25.2,
Red,MAISON TRAMIER & FILS CORTON GRAND CRU PINOT NOIR 2016 750ML,30819269,6,188.55,251.99,25.2,
Red,SAN POLO BRUNELLO DI MONTALCINO RISERVA DOCG 2012 SANGIOVESE TUSCANY ITALY 750ML,30830825,6,174.90,233.99,25.3,
Red,MAISON TRAMIER & FILS VOSNE-ROMANEE PINOT NOIR 2020 750ML,30819243,6,172.67,230.99,25.2,
Red,GRANT BURGE MESHACH SHIRAZ V19 750ML,31312773,6,171.36,228.99,25.2,
Red,TENUTA MERAVIGLIA ROSSO BOLGHERI SUPERIORE 2018 750ML,31357812,6,143.79,191.99,25.1,
Red,MARZIANO ABBONA DOCG BAROLO 750ML,30933966,6,130.90,174.99,25.2,
Red,FONTANAFREDDA VIGNA LA ROSA BAROLO DOCG ITALY 750ML,30818093,6,130.28,173.99,25.1,
Red,WYNNS RIDDOCH CAB SAUV19 750ML,83134,6,125.89,167.99,25.1,
Red,DONNE FITTPALDI MALAROJA MALBEC SUPER TUSCAN 750ML,30934124,6,119.90,159.99,25.1,
Red,FONTANAFREDDA BAROLO PROPRIETA DOCG ITALY 750ML,30818085,6,115.80,154.99,25.3,
Red,PETALUMA ANOVA CABERNET SAUVIGNON 750ML,31305239,6,113.52,151.99,25.3,
Red,CLOUDY BAY TE WAHI 750ML,30818027,6,111.21,148.99,25.4,
Red,EILEEN HARDY SHIRAZ V20 750ML,31263306,6,111.15,148.99,25.4,
Red,FIRST DROP FAT OF THE LAND SEPPELTSFIELD SHIRAZ 2021 750ML,31294462,6,106.42,141.99,25.0,
Red,PIOMBAIA DOCG BRUNELLO DI MONTALCINO 750ML,30838378,6,105.24,140.99,25.4,
Red,EILEEN HARDY PNT NOIR    750ML,574541,6,102.88,137.99,25.4,
Red,EILEEN HARDY PINOT NOIR V21 750ML,31312812,6,102.88,137.99,25.4,
Red,GIBOULOT BEAUNE CLOS DU ROI 1ER CRU 750ML,30838140,6,102.88,137.99,25.4,
Red,PENFOLDS ST HENRI SHZ 22 750ML,232806,6,101.65,135.99,25.2,
Red,POGGIO LANDI BRUNELLO DI MONTALCINO DOCG 2018 750ML,31357600,6,98.86,131.99,25.1,
Red,CAPE MENTELLE HERITAGE CAB MARGARET RIVER 750ML,807355,6,97.91,130.99,25.3,
Red,XANADU RESERVE CABERNET SAUV 750ML,31497604,6,96.96,129.99,25.4,
Red,ALBERT BICHOT GEVREY CHAMBERTIN 750ML,31056806,6,94.36,125.99,25.1,
Red,SAN POLO BRUNELLO DI MONTALCINO DOCG SANGIOVESE TUSCANY ITALY 2017 750ML,30830817,6,93.50,124.99,25.2,
Red,GIOVANNI ROSSO BAROLO SERRALUNGA D'ALBA DEL COMUNE 750ML,30877259,6,92.36,123.99,25.5,
Red,MARZIANO ABBONA BARBARESCO DOCG 750ML,30933958,6,91.30,121.99,25.2,
Red,DIEGO RIVETTI BAROLO ELDA 2022 750ML,31467007,12,85.80,114.99,25.4,
Red,JEAN MICHEL GIBOULOT SAVIGNY LES BEAUNE AUX FOURNAUX 1ER CRU 2018 750ML,30890281,6,84.43,112.99,25.3,
Red,PIAZZO BARBARESCO PAJORE DOCG 2021 750ML,31357529,6,83.96,111.99,25.0,
Red,PETALUMA YL CABERNET MERLOT 750ML,31305166,6,81.36,108.99,25.4,
Red,TAR & ROSES LOCAL HERO BAROLO 750ML,30941870,6,79.48,105.99,25.0,
Red,XANADU STEVENS RD CABERNET SAUV 750ML,31497620,6,76.86,102.99,25.4,
Red,KILIKANOON TREGEA CABERNET SAUVIGNON 2018 750ML,31354660,6,73.31,97.99,25.2,
Red,OAKRIDGE 864 CAB SAUV WINERY BLOCK 750ML,31496315,6,72.37,96.99,25.4,
Red,OAKRIDGE 864 PINOT NOIR BLOCK A4 750ML,31496349,6,72.37,96.99,25.4,
Red,OAKRIDGE 864 SYRAH 750ML,31496357,6,72.37,96.99,25.4,
Red,CHIANTI CLASSICO GRAN SELEZIONE DOCG 750ML,30908319,6,72.16,96.99,25.6,
Red,FARINA AMARONE DELLA VALPOLICELLA CLASSICO DOCG VENETO ITALY 750ML,30829426,6,69.30,92.99,25.5,
Red,FONTANAFREDDA SERRALUNGA D'ALBA BAROLO DOCG ITALY 750ML,30818108,6,67.55,90.99,25.8,
Red,VIGNOBLE DAUNY AOC SANCERRE ROUGE PYNOZ 2024 12% 750ML,31432549,6,65.73,87.99,25.3,
Red,TENUTA MERAVIGLIA ROSSO BOLGHERI DOC 2020 750ML,31357804,6,61.96,82.99,25.3,
Red,DONNE FITTIPALDI BOLGHERI TUSCANY 2022 750ML,31354814,6,61.49,81.99,25.0,
Red,PIAZZO BAROLO VALENTE DOCG 2020 750ML,31357561,12,59.72,79.99,25.3,
Red,CASALI DEL BARONE BAROLO 2020 750ML,31357650,6,57.94,77.99,25.7,
Red,HENTLEY FARM OLD LEGEND GRENACHE 750ML,31495432,6,57.00,76.99,26.0,
Red,PIAZZO BARBARESCO ARGÈ DOCG 2021 750ML,31357537,12,56.76,75.99,25.3,
Red,CLOUDY BAY PINOT NOIR    750ML,558558,6,54.94,73.99,25.7,
