Title,Cost,Old price,New price,Change,New GP% (ex-GST)
Penfolds Grange,824.59,1099.99,1209.99,+110.00,25.0
Krug Vintage,670.07,893.99,982.99,+89.00,25.0
Dom Perignon Rose,662.31,883.99,971.99,+88.00,25.0
San Polo Brunello di Montalcino DOCG Vignavecchia 2017 Sangiovese Tuscany Italy,550.00,733.99,806.99,+73.00,25.0
Perrier-Jouet Belle Epoque Blanc de Blanc,451.56,602.99,662.99,+60.00,25.1
Krug Grande Cuvée,402.46,536.99,590.99,+54.00,25.1
Moët & Chandon Dom Pérignon,402.66,536.99,590.99,+54.00,25.1
Champagne Deutz Amour de Deutz Brut Millesime 2011,319.84,426.99,469.99,+43.00,25.1
Veuve Clicquot La Grande Dame,311.14,414.99,456.99,+42.00,25.1
Brokenwood Graveyard Shiraz,301.54,402.99,442.99,+40.00,25.1
Poggio Al Tesoro Dedicato A Walter Bolgheri Superiore DOC Tuscany Italy,275.00,366.99,403.99,+37.00,25.1
Bollinger La Grande Année,269.61,359.99,395.99,+36.00,25.1
Joseph Drouhin Gevrey Chambertin,259.68,346.99,380.99,+34.00,25.0
Kaesler Old Bastard Shiraz,249.98,333.99,366.99,+33.00,25.1
Château d'Esclans Garrus,230.20,306.99,337.99,+31.00,25.1
Lacourte-Godbillon Mont Ames-Migreats Premier Cru (Pinot Noir) - Champagne France,212.30,283.99,311.99,+28.00,25.1
Kilikanoon Attunga 1865 Shiraz 2016,206.94,275.99,303.99,+28.00,25.1
Hentley Farm Clos Otto Shiraz,205.75,274.99,301.99,+27.00,25.1
Maison Tramier & Fils Corton Grand Cru Pinot Noir 2016,188.55,251.99,276.99,+25.00,25.1
House of Arras EJ Carr Late Disgorged,185.89,247.99,272.99,+25.00,25.1
Ruinart Rose Second Skin,182.35,243.99,267.99,+24.00,25.2
Bollinger Pinot Noir Tx20 Blanc de Noirs Champagne,176.19,234.99,258.99,+24.00,25.2
Ruinart Blanc de Blanc SS,174.82,233.99,256.99,+23.00,25.2
San Polo Brunello di Montalcino Riserva DOCG 2012 Sangiovese Tuscany Italy,174.90,233.99,256.99,+23.00,25.1
Maison Tramier & Fils Vosne-Romanee Pinot Noir 2020,172.67,230.99,253.99,+23.00,25.2
Grant Burge Meshach Shiraz V19,171.36,228.99,251.99,+23.00,25.2
Billecart-Salmon Brut Rosé,162.79,217.99,238.99,+21.00,25.1
Billecart Salmon Brut Sous Bois,162.79,217.99,238.99,+21.00,25.1
