#,Priority,Category,Segment,ALM rank,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Our price,Cost ex GST,ALM item code,Why this priority,Additional Info (paste product facts here),Dan Murphy price
250,P3,Wine,SPARKLING CHAMPAGNE,7,Pol Roger Brut Non Vintage 750mL,pol-roger-brut-non-vintage-750ml-01.jpg,pol-roger-brut-non-vintage-750ml-02.jpg,149.99,102.21,535437,ALM top-8 in its segment,,
346,P4,Spirits,OTHER SPIRITS,13,Hennessy Cog VSOP 700mL,hennessy-cog-vsop-700ml-01.jpg,hennessy-cog-vsop-700ml-02.jpg,134.99,91.76,571491,ALM top-12 in its segment,,
384,P4,Spirits,TEQUILA,18,Herradura Tequila Plata 700mL,herradura-tequila-plata-700ml-01.jpg,herradura-tequila-plata-700ml-02.jpg,125.99,85.45,506302,ALM top-12 in its segment,,
311,P4,Spirits,SCOTCH,11,Johnnie Walker Red Label Nupk 1125mL,johnnie-walker-red-label-nupk-1125ml-01.jpg,johnnie-walker-red-label-nupk-1125ml-02.jpg,123.99,84.32,584334,ALM top-12 in its segment,,
267,P3,Spirits,RUM DARK,8,Kraken Black Spiced Rum 1L,kraken-black-spiced-rum-1l-01.jpg,kraken-black-spiced-rum-1l-02.jpg,122.99,83.8,287377,ALM top-8 in its segment,,
268,P3,Wine,SPARKLING CHAMPAGNE,8,Perrier Jouet Grand Brut 750mL,perrier-jouet-grand-brut-750ml-01.jpg,perrier-jouet-grand-brut-750ml-02.jpg,119.99,81.71,711397,ALM top-8 in its segment,,
347,P4,Spirits,TEQUILA,13,Patron Silver 700mL,patron-silver-700ml-01.jpg,patron-silver-700ml-02.jpg,112.99,76.96,369394,ALM top-12 in its segment,,
327,P4,Spirits,GIN,12,Bombay Gin Sapphire 1L,bombay-gin-sapphire-1l-01.jpg,bombay-gin-sapphire-1l-02.jpg,109.99,74.5,367782,ALM top-12 in its segment,,
204,P3,Spirits,RUM DARK,4,Bundaberg Rum Up 1125mL,bundaberg-rum-up-1125ml-01.jpg,bundaberg-rum-up-1125ml-02.jpg,106.99,72.55,527727,ALM top-8 in its segment,,
297,P4,Spirits,BOURBON,10,Jim Beam Whitelabel6P37% 1125mL,jim-beam-whitelabel6p37-1125ml-01.jpg,jim-beam-whitelabel6p37-1125ml-02.jpg,106.99,72.52,529046,ALM top-12 in its segment,,
