Add? (y/n),Category,Segment,Rank TY,Product name (readable),ALM description,ALM item code,Barcode,Supplier,Stock type,Carton size,Unit cost ex GST,Retail @25% GP,Image filename,Got image? (y/n)
,WINE,MOSCATO,1,Brown Brothers Moscato 750mL,BROWN BRO MOSCATO        750ML,552578,0029147139985,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,17.99,brown-brothers-moscato-750ml-01.jpg,
,WINE,MOSCATO,2,Banrock Stn Moscato S/C 1L,BANROCK STN MOSCATO S/C     1L,666445,9311043766282,VINARCHY AUSTRALIA,ALM Warehouse,6,8.02,11.99,banrock-stn-moscato-s-c-1l-01.jpg,
,WINE,MOSCATO,3,Brown Brothers Moscato Rosé 750mL,BROWN BRO MOSCATO ROSE   750ML,570071,0029147139992,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,17.99,brown-brothers-moscato-ros-750ml-01.jpg,
,WINE,MOSCATO,5,Gossips Swtlips Moscato 750mL,GOSSIPS SWTLIPS MOSCATO  750ML,826008,9313748004591,MEDITRINA BEVERAGES PL,ALM Warehouse,6,4.80,7.99,gossips-swtlips-moscato-750ml-01.jpg,
,WINE,MOSCATO,6,Banrock Stn Moscato Pink 1L,BANROCK STN MOSCATO PINK    1L,666649,9311043766411,VINARCHY AUSTRALIA,ALM Warehouse,6,8.02,11.99,banrock-stn-moscato-pink-1l-01.jpg,
,WINE,MOSCATO,7,Brown Brothers Moscato S/Blanc 750mL,BROWN BRO MOSCATO S/BLANC750ML,580005,9311124400166,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,17.99,brown-brothers-moscato-s-blanc-750ml-01.jpg,
,WINE,MOSCATO,8,Tgallant Juliet Moscato 750mL,TGALLANT JULIET MOSCATO 750ML,976683,9326983003007,TREASURY WINE ESTATES,ALM Warehouse,6,11.99,17.99,tgallant-juliet-moscato-750ml-01.jpg,
,WINE,MOSCATO,9,Brown Brothers Moscato Sp 750mL,BROWN BRO MOSCATO SP     750ML,540903,0029147106901,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,17.99,brown-brothers-moscato-sp-750ml-01.jpg,
,WINE,MOSCATO,10,Brown Brothers Moscato Rosé Sp 750mL,BROWN BRO MOSCATO ROSE SP750ML,540908,0029147106918,BROWN FAMILY WINE GROUP,ALM Warehouse,6,11.69,17.99,brown-brothers-moscato-ros-sp-750ml-01.jpg,
,WINE,MOSCATO,11,Amberley Kiss&T Moscato 750mL,AMBERLEY KISS&T MOSCATO  750ML,533309,9316176079971,VINARCHY AUSTRALIA,ALM Warehouse,6,11.26,16.99,amberley-kiss-t-moscato-750ml-01.jpg,
,WINE,MOSCATO,12,Vivo Moscato 750mL,VIVO MOSCATO             750ML,608201,9300752371535,DE BORTOLI WINES PTY LIMI,ALM Warehouse,12,5.77,8.99,vivo-moscato-750ml-01.jpg,
,WINE,MOSCATO,13,Jacobs Ck Sparkling Moscato White 750mL,JACOBS CK SPK MOSC WHITE 750ML,505720,9311043404184,VINARCHY AUSTRALIA,ALM Warehouse,6,7.53,11.99,jacobs-ck-sparkling-moscato-white-750ml-01.jpg,
,WINE,SPARKLING CHAMPAGNE,1,Moet Chandon Brut NV 750mL,MOET CHANDON BRUT NV     750ML,535518,3185370729960,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,67.94,99.99,moet-chandon-brut-nv-750ml-01.jpg,
,WINE,SPARKLING CHAMPAGNE,2,Mumm Cord Rouge NV Champ 750mL,MUMM CORD ROUGE NV CHAMP 750ML,535704,3043700103814,PERNOD RICARD AUST P/L,ALM Warehouse,6,55.46,81.99,mumm-cord-rouge-nv-champ-750ml-01.jpg,
,WINE,SPARKLING CHAMPAGNE,3,Veuve/C Yellow NV 750mL,VEUVE/C YELLOW NV        750ML,536946,3049614222245,MOET HENNESSY AUSTRALIA,ALM Warehouse,6,80.64,118.99,veuve-c-yellow-nv-750ml-01.jpg,
,WINE,SPARKLING CHAMPAGNE,4,Piper-Heidsiek NV Brut 750mL,PIPER-HEIDSIEK NV BRUT   750ML,988347,3018334100003,ALM IMPORTS.,ALM Warehouse,6,59.73,87.99,piper-heidsiek-nv-brut-750ml-01.jpg,
,WINE,SPARKLING CHAMPAGNE,5,Louis Morette Brutnvchamp 750mL,LOUIS MORETTE BRUTNVCHAMP750ML,663036,,,,,,,louis-morette-brutnvchamp-750ml-01.jpg,
,WINE,SPARKLING CHAMPAGNE,6,Piper Heidsiek Cuvée Lmg 750mL,PIPER HEIDSIEK CUV LMG   750ML,970920,,,,,,,piper-heidsiek-cuv-e-lmg-750ml-01.jpg,
,WINE,SPARKLING CHAMPAGNE,7,Pol Roger Brut Non Vintage 750mL,POL ROGER BRUT NON VINT  750ML,535437,3260923012000,SAMUEL SMITH & SON,ALM Warehouse,6,102.21,149.99,pol-roger-brut-non-vintage-750ml-01.jpg,
