category,sub_category,products
Beer & Cider,Craft Beer,453
Beer & Cider,Australian Beer,269
Beer & Cider,Cider,131
Beer & Cider,Imported Beer,123
Beer & Cider,Low Carb Beer,24
Beer & Cider,Mid Strength Beer,16
Beer & Cider,Full Strength Beer,16
Beer & Cider,Premium Beer,15
Beer & Cider,Non-Alcoholic Beer,7
Spirits,Premixed Drinks,605
Spirits,Whisky,256
Spirits,Gin,183
Spirits,Liqueurs,134
Spirits,Vodka,88
Spirits,Tequila,74
Spirits,Other Spirits,63
Spirits,Rum,59
Spirits,Brandy,15
Spirits,Cognac,11
Spirits,Bourbon,5
Wine,Red Wine,1111
Wine,White Wine,667
Wine,Champagne & Sparkling,290
Wine,Fortified Wine,85
